cue1pos,cue2lag,ltrCoords,ltrEccentricity,trialNumOriginal
6,2,"[-1, 0]",10.0,271
14,2,"[-1, 0]",10.0,258
14,2,"[-1, 0]",3.0,163
18,2,"[-1, 0]",3.0,174
10,2,"[-1, 0]",3.0,172
10,2,"[1, 0]",10.0,82
22,2,"[1, 0]",10.0,125
14,2,"[-1, 0]",10.0,233
6,2,"[1, 0]",3.0,11
6,2,"[1, 0]",10.0,101
6,2,"[1, 0]",3.0,66
18,2,"[1, 0]",10.0,94
18,2,"[-1, 0]",3.0,209
6,2,"[1, 0]",10.0,71
14,2,"[1, 0]",10.0,98
22,2,"[1, 0]",10.0,100
18,2,"[-1, 0]",10.0,264
18,2,"[1, 0]",3.0,64
6,2,"[-1, 0]",3.0,166
22,2,"[-1, 0]",3.0,180
10,2,"[1, 0]",3.0,67
14,2,"[-1, 0]",3.0,148
10,2,"[-1, 0]",10.0,242
18,2,"[1, 0]",10.0,89
10,2,"[1, 0]",10.0,107
14,2,"[1, 0]",10.0,133
6,2,"[-1, 0]",3.0,161
22,2,"[1, 0]",3.0,55
10,2,"[1, 0]",10.0,92
22,2,"[-1, 0]",3.0,195
14,2,"[1, 0]",3.0,33
14,2,"[-1, 0]",3.0,208
14,2,"[-1, 0]",10.0,273
22,2,"[1, 0]",3.0,50
6,2,"[1, 0]",3.0,16
10,2,"[-1, 0]",10.0,222
6,2,"[-1, 0]",3.0,206
10,2,"[1, 0]",10.0,117
14,2,"[-1, 0]",10.0,238
18,2,"[-1, 0]",10.0,269
18,2,"[-1, 0]",3.0,154
10,2,"[1, 0]",3.0,62
14,2,"[1, 0]",3.0,18
18,2,"[1, 0]",3.0,69
10,2,"[1, 0]",10.0,132
14,2,"[-1, 0]",3.0,153
6,2,"[1, 0]",10.0,91
10,2,"[1, 0]",3.0,47
10,2,"[1, 0]",3.0,32
10,2,"[-1, 0]",3.0,202
14,2,"[1, 0]",10.0,128
18,2,"[1, 0]",3.0,14
18,2,"[1, 0]",3.0,34
14,2,"[1, 0]",10.0,118
18,2,"[1, 0]",10.0,84
6,2,"[-1, 0]",3.0,181
10,2,"[1, 0]",10.0,97
14,2,"[1, 0]",3.0,58
18,2,"[1, 0]",10.0,104
22,2,"[-1, 0]",10.0,270
6,2,"[-1, 0]",10.0,236
18,2,"[1, 0]",10.0,79
18,2,"[-1, 0]",10.0,259
14,2,"[1, 0]",10.0,113
10,2,"[-1, 0]",3.0,182
10,2,"[1, 0]",3.0,22
6,2,"[1, 0]",3.0,6
14,2,"[-1, 0]",3.0,178
22,2,"[1, 0]",3.0,10
14,2,"[-1, 0]",3.0,143
14,2,"[1, 0]",10.0,103
10,2,"[-1, 0]",10.0,237
