cue1pos,cue2lag,ltrCoords,ltrEccentricity,trialNumOriginal
22,2,"[1, 0]",3.0,60
18,2,"[1, 0]",10.0,74
6,2,"[-1, 0]",3.0,201
10,2,"[-1, 0]",3.0,192
14,2,"[1, 0]",10.0,98
10,2,"[-1, 0]",3.0,162
6,2,"[1, 0]",3.0,46
14,2,"[1, 0]",3.0,13
6,2,"[-1, 0]",10.0,226
18,2,"[1, 0]",3.0,4
18,2,"[1, 0]",10.0,134
18,2,"[1, 0]",3.0,59
6,2,"[1, 0]",10.0,76
18,2,"[-1, 0]",10.0,219
14,2,"[1, 0]",10.0,78
10,2,"[1, 0]",10.0,97
6,2,"[1, 0]",3.0,41
6,2,"[-1, 0]",10.0,276
18,2,"[1, 0]",3.0,39
22,2,"[1, 0]",3.0,25
10,2,"[-1, 0]",3.0,177
6,2,"[1, 0]",3.0,31
18,2,"[-1, 0]",10.0,254
18,2,"[1, 0]",3.0,69
18,2,"[-1, 0]",3.0,154
18,2,"[-1, 0]",10.0,234
10,2,"[1, 0]",3.0,52
18,2,"[1, 0]",10.0,129
18,2,"[-1, 0]",3.0,174
14,2,"[1, 0]",10.0,73
14,2,"[1, 0]",3.0,53
6,2,"[1, 0]",10.0,106
6,2,"[1, 0]",10.0,121
18,2,"[-1, 0]",3.0,169
6,2,"[1, 0]",10.0,126
14,2,"[-1, 0]",10.0,268
6,2,"[1, 0]",10.0,116
22,2,"[-1, 0]",10.0,235
18,2,"[1, 0]",10.0,104
18,2,"[1, 0]",10.0,124
10,2,"[1, 0]",3.0,47
22,2,"[-1, 0]",10.0,215
10,2,"[1, 0]",3.0,57
18,2,"[-1, 0]",3.0,179
14,2,"[-1, 0]",3.0,143
6,2,"[1, 0]",10.0,91
18,2,"[-1, 0]",3.0,189
14,2,"[1, 0]",3.0,58
22,2,"[1, 0]",3.0,35
6,2,"[1, 0]",3.0,26
10,2,"[-1, 0]",10.0,237
6,2,"[-1, 0]",10.0,271
22,2,"[1, 0]",10.0,85
10,2,"[-1, 0]",10.0,257
18,2,"[-1, 0]",3.0,204
22,2,"[-1, 0]",10.0,220
18,2,"[-1, 0]",3.0,194
22,2,"[1, 0]",3.0,65
6,2,"[-1, 0]",10.0,236
14,2,"[1, 0]",3.0,28
14,2,"[-1, 0]",10.0,238
10,2,"[1, 0]",3.0,42
10,2,"[-1, 0]",10.0,222
22,2,"[1, 0]",10.0,140
14,2,"[1, 0]",10.0,103
10,2,"[1, 0]",3.0,32
14,2,"[-1, 0]",10.0,223
14,2,"[1, 0]",3.0,3
22,2,"[-1, 0]",10.0,240
14,2,"[1, 0]",3.0,68
22,2,"[1, 0]",3.0,40
10,2,"[1, 0]",3.0,7
22,2,"[1, 0]",3.0,50
6,2,"[-1, 0]",3.0,166
10,2,"[-1, 0]",10.0,267
10,2,"[1, 0]",10.0,112
6,2,"[-1, 0]",3.0,161
10,2,"[1, 0]",3.0,12
10,2,"[1, 0]",10.0,77
