cue1pos,cue2lag,ltrCoords,ltrEccentricity,trialNumOriginal
18,2,"[-1, 0]",10.0,254
22,2,"[1, 0]",3.0,45
14,2,"[1, 0]",3.0,53
18,2,"[1, 0]",10.0,94
10,2,"[1, 0]",10.0,72
6,2,"[1, 0]",3.0,1
18,2,"[1, 0]",10.0,104
10,2,"[1, 0]",3.0,22
18,2,"[-1, 0]",3.0,209
22,2,"[1, 0]",10.0,85
22,2,"[-1, 0]",10.0,240
18,2,"[-1, 0]",10.0,239
6,2,"[1, 0]",3.0,21
10,2,"[-1, 0]",3.0,167
10,2,"[-1, 0]",10.0,277
10,2,"[-1, 0]",3.0,182
6,2,"[-1, 0]",10.0,216
22,2,"[1, 0]",10.0,75
22,2,"[-1, 0]",10.0,245
18,2,"[-1, 0]",3.0,189
10,2,"[1, 0]",3.0,17
22,2,"[1, 0]",10.0,140
6,2,"[-1, 0]",3.0,206
22,2,"[-1, 0]",3.0,175
14,2,"[-1, 0]",3.0,173
18,2,"[-1, 0]",10.0,214
22,2,"[1, 0]",3.0,5
10,2,"[1, 0]",3.0,37
14,2,"[-1, 0]",3.0,188
22,2,"[1, 0]",10.0,110
6,2,"[1, 0]",3.0,26
6,2,"[1, 0]",10.0,81
22,2,"[-1, 0]",3.0,195
6,2,"[1, 0]",10.0,76
14,2,"[-1, 0]",10.0,218
22,2,"[-1, 0]",3.0,160
14,2,"[1, 0]",10.0,83
10,2,"[-1, 0]",3.0,202
14,2,"[-1, 0]",3.0,153
14,2,"[1, 0]",10.0,128
6,2,"[-1, 0]",10.0,211
18,2,"[1, 0]",10.0,129
10,2,"[-1, 0]",10.0,227
6,2,"[-1, 0]",10.0,276
14,2,"[1, 0]",10.0,133
14,2,"[-1, 0]",10.0,258
14,2,"[-1, 0]",3.0,183
18,2,"[1, 0]",3.0,59
22,2,"[-1, 0]",3.0,210
6,2,"[-1, 0]",10.0,266
22,2,"[-1, 0]",10.0,270
18,2,"[1, 0]",3.0,44
10,2,"[1, 0]",10.0,82
6,2,"[1, 0]",10.0,71
18,2,"[1, 0]",3.0,69
18,2,"[1, 0]",10.0,79
22,2,"[1, 0]",3.0,40
6,2,"[-1, 0]",3.0,151
14,2,"[-1, 0]",3.0,203
18,2,"[-1, 0]",10.0,269
22,2,"[1, 0]",10.0,130
10,2,"[-1, 0]",3.0,187
22,2,"[-1, 0]",3.0,200
18,2,"[1, 0]",3.0,34
18,2,"[-1, 0]",10.0,219
18,2,"[-1, 0]",3.0,164
14,2,"[1, 0]",10.0,73
6,2,"[-1, 0]",3.0,146
18,2,"[-1, 0]",10.0,249
18,2,"[1, 0]",10.0,84
6,2,"[1, 0]",10.0,116
18,2,"[1, 0]",3.0,24
18,2,"[-1, 0]",10.0,224
14,2,"[-1, 0]",10.0,248
18,2,"[-1, 0]",10.0,274
22,2,"[1, 0]",3.0,55
14,2,"[-1, 0]",10.0,268
14,2,"[-1, 0]",3.0,208
22,2,"[-1, 0]",10.0,260
14,2,"[1, 0]",10.0,113
22,2,"[1, 0]",3.0,10
22,2,"[1, 0]",3.0,20
6,2,"[-1, 0]",3.0,191
6,2,"[1, 0]",3.0,46
14,2,"[-1, 0]",10.0,233
10,2,"[1, 0]",10.0,132
