trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
78,"[1, 0]",22,2,10
114,"[1, 0]",18,2,10
38,"[1, 0]",22,2,10
53,"[1, 0]",18,2,2
206,"[1, 0]",10,2,10
3,"[-1, 0]",6,2,2
80,"[-1, 0]",22,2,10
195,"[-1, 0]",18,2,2
26,"[1, 0]",10,2,10
270,"[1, 0]",14,2,10
136,"[-1, 0]",18,2,10
7,"[-1, 0]",10,2,2
170,"[1, 0]",14,2,10
186,"[1, 0]",10,2,10
96,"[-1, 0]",18,2,10
73,"[1, 0]",18,2,2
137,"[1, 0]",22,2,2
6,"[1, 0]",10,2,10
187,"[-1, 0]",10,2,2
263,"[-1, 0]",6,2,2
63,"[-1, 0]",6,2,2
184,"[-1, 0]",6,2,10
269,"[1, 0]",14,2,2
125,"[1, 0]",10,2,2
35,"[-1, 0]",18,2,2
244,"[-1, 0]",6,2,10
113,"[1, 0]",18,2,2
72,"[-1, 0]",14,2,10
164,"[-1, 0]",6,2,10
119,"[-1, 0]",22,2,2
273,"[1, 0]",18,2,2
175,"[-1, 0]",18,2,2
21,"[1, 0]",6,2,2
57,"[1, 0]",22,2,2
54,"[1, 0]",18,2,10
232,"[-1, 0]",14,2,10
17,"[1, 0]",22,2,2
158,"[1, 0]",22,2,10
16,"[-1, 0]",18,2,10
92,"[-1, 0]",14,2,10
4,"[-1, 0]",6,2,10
148,"[-1, 0]",10,2,10
268,"[-1, 0]",10,2,10
233,"[1, 0]",18,2,2
221,"[1, 0]",6,2,2
108,"[-1, 0]",10,2,10
271,"[-1, 0]",14,2,2
183,"[-1, 0]",6,2,2
44,"[-1, 0]",6,2,10
179,"[-1, 0]",22,2,2
162,"[1, 0]",6,2,10
84,"[-1, 0]",6,2,10
197,"[1, 0]",22,2,2
236,"[-1, 0]",18,2,10
279,"[-1, 0]",22,2,2
267,"[-1, 0]",10,2,2
208,"[-1, 0]",10,2,10
23,"[-1, 0]",6,2,2
40,"[-1, 0]",22,2,10
199,"[-1, 0]",22,2,2
65,"[1, 0]",10,2,2
225,"[1, 0]",10,2,2
226,"[1, 0]",10,2,10
145,"[1, 0]",10,2,2
153,"[1, 0]",18,2,2
47,"[-1, 0]",10,2,2
217,"[1, 0]",22,2,2
251,"[-1, 0]",14,2,2
215,"[-1, 0]",18,2,2
132,"[-1, 0]",14,2,10
48,"[-1, 0]",10,2,10
19,"[-1, 0]",22,2,2
81,"[1, 0]",6,2,2
278,"[1, 0]",22,2,10
111,"[-1, 0]",14,2,2
85,"[1, 0]",10,2,2
141,"[1, 0]",6,2,2
200,"[-1, 0]",22,2,10
228,"[-1, 0]",10,2,10
166,"[1, 0]",10,2,10
245,"[1, 0]",10,2,2
155,"[-1, 0]",18,2,2
122,"[1, 0]",6,2,10
89,"[1, 0]",14,2,2
138,"[1, 0]",22,2,10
