cue1pos,cue2lag,ltrCoords,ltrEccentricity,trialNumOriginal
22,2,"[1, 0]",3.0,70
14,2,"[1, 0]",3.0,13
10,2,"[1, 0]",10.0,117
18,2,"[1, 0]",10.0,104
14,2,"[-1, 0]",10.0,258
14,2,"[-1, 0]",3.0,153
10,2,"[1, 0]",3.0,27
14,2,"[1, 0]",3.0,23
10,2,"[-1, 0]",3.0,177
22,2,"[1, 0]",3.0,5
10,2,"[1, 0]",10.0,112
14,2,"[-1, 0]",10.0,223
10,2,"[1, 0]",10.0,77
10,2,"[-1, 0]",3.0,182
6,2,"[1, 0]",10.0,126
14,2,"[1, 0]",10.0,138
22,2,"[-1, 0]",10.0,260
18,2,"[-1, 0]",10.0,239
18,2,"[1, 0]",10.0,129
22,2,"[-1, 0]",10.0,235
18,2,"[1, 0]",10.0,84
14,2,"[1, 0]",3.0,33
10,2,"[1, 0]",3.0,62
22,2,"[-1, 0]",10.0,245
14,2,"[-1, 0]",3.0,208
22,2,"[1, 0]",3.0,10
22,2,"[-1, 0]",3.0,145
10,2,"[1, 0]",10.0,87
10,2,"[1, 0]",3.0,2
14,2,"[-1, 0]",10.0,268
10,2,"[1, 0]",10.0,72
22,2,"[-1, 0]",10.0,255
14,2,"[1, 0]",10.0,123
6,2,"[1, 0]",10.0,76
14,2,"[1, 0]",10.0,133
14,2,"[1, 0]",3.0,38
6,2,"[-1, 0]",10.0,276
10,2,"[-1, 0]",3.0,172
22,2,"[-1, 0]",10.0,215
14,2,"[1, 0]",10.0,73
22,2,"[1, 0]",3.0,20
14,2,"[-1, 0]",3.0,143
14,2,"[1, 0]",10.0,113
10,2,"[-1, 0]",10.0,277
6,2,"[-1, 0]",10.0,266
6,2,"[-1, 0]",3.0,181
6,2,"[1, 0]",10.0,91
18,2,"[-1, 0]",3.0,194
6,2,"[1, 0]",10.0,131
18,2,"[1, 0]",3.0,64
18,2,"[-1, 0]",3.0,174
22,2,"[1, 0]",10.0,90
6,2,"[1, 0]",3.0,6
22,2,"[-1, 0]",3.0,185
14,2,"[1, 0]",3.0,53
14,2,"[-1, 0]",10.0,218
14,2,"[1, 0]",3.0,68
14,2,"[-1, 0]",3.0,163
18,2,"[1, 0]",10.0,79
22,2,"[1, 0]",10.0,75
18,2,"[-1, 0]",3.0,149
14,2,"[-1, 0]",10.0,228
18,2,"[-1, 0]",10.0,279
6,2,"[-1, 0]",10.0,271
6,2,"[-1, 0]",10.0,221
6,2,"[-1, 0]",3.0,141
6,2,"[1, 0]",10.0,116
10,2,"[-1, 0]",3.0,197
6,2,"[-1, 0]",10.0,241
14,2,"[1, 0]",10.0,83
6,2,"[1, 0]",3.0,41
10,2,"[1, 0]",10.0,92
10,2,"[-1, 0]",10.0,227
10,2,"[1, 0]",3.0,52
14,2,"[-1, 0]",10.0,273
14,2,"[-1, 0]",3.0,193
22,2,"[-1, 0]",3.0,200
