cue1pos,cue2lag,ltrCoords,ltrEccentricity,trialNumOriginal
14,2,"[-1, 0]",3.0,173
22,2,"[-1, 0]",3.0,170
22,2,"[-1, 0]",3.0,175
22,2,"[-1, 0]",10.0,225
10,2,"[1, 0]",3.0,7
22,2,"[1, 0]",10.0,90
14,2,"[1, 0]",3.0,28
14,2,"[-1, 0]",3.0,203
6,2,"[-1, 0]",10.0,256
6,2,"[1, 0]",3.0,36
14,2,"[1, 0]",10.0,73
10,2,"[-1, 0]",10.0,277
6,2,"[1, 0]",10.0,136
10,2,"[-1, 0]",10.0,262
22,2,"[1, 0]",10.0,140
18,2,"[1, 0]",3.0,24
14,2,"[1, 0]",10.0,88
10,2,"[1, 0]",10.0,102
10,2,"[1, 0]",3.0,17
14,2,"[1, 0]",3.0,33
6,2,"[-1, 0]",10.0,216
14,2,"[1, 0]",10.0,123
22,2,"[1, 0]",10.0,85
6,2,"[-1, 0]",3.0,186
6,2,"[-1, 0]",3.0,146
10,2,"[-1, 0]",3.0,172
6,2,"[-1, 0]",3.0,191
6,2,"[-1, 0]",3.0,201
18,2,"[1, 0]",3.0,4
14,2,"[1, 0]",3.0,13
10,2,"[1, 0]",10.0,127
22,2,"[-1, 0]",3.0,205
10,2,"[1, 0]",3.0,27
6,2,"[1, 0]",10.0,76
22,2,"[1, 0]",10.0,105
14,2,"[-1, 0]",3.0,178
22,2,"[-1, 0]",10.0,215
6,2,"[-1, 0]",3.0,206
22,2,"[-1, 0]",10.0,270
18,2,"[-1, 0]",10.0,244
22,2,"[-1, 0]",10.0,245
18,2,"[1, 0]",3.0,14
14,2,"[-1, 0]",10.0,223
6,2,"[-1, 0]",3.0,141
6,2,"[1, 0]",10.0,106
10,2,"[1, 0]",3.0,67
14,2,"[1, 0]",10.0,138
10,2,"[1, 0]",10.0,137
10,2,"[-1, 0]",3.0,192
6,2,"[1, 0]",3.0,61
10,2,"[-1, 0]",3.0,207
22,2,"[-1, 0]",10.0,275
6,2,"[1, 0]",10.0,126
14,2,"[-1, 0]",3.0,183
22,2,"[-1, 0]",3.0,210
14,2,"[-1, 0]",10.0,248
14,2,"[1, 0]",3.0,48
14,2,"[-1, 0]",10.0,258
18,2,"[-1, 0]",10.0,264
18,2,"[1, 0]",10.0,94
14,2,"[-1, 0]",10.0,218
22,2,"[-1, 0]",10.0,230
10,2,"[1, 0]",10.0,122
14,2,"[1, 0]",3.0,63
6,2,"[-1, 0]",10.0,271
14,2,"[-1, 0]",10.0,228
22,2,"[1, 0]",3.0,70
10,2,"[-1, 0]",3.0,162
18,2,"[1, 0]",10.0,134
18,2,"[-1, 0]",10.0,219
22,2,"[-1, 0]",10.0,220
18,2,"[-1, 0]",3.0,179
18,2,"[1, 0]",3.0,69
10,2,"[-1, 0]",3.0,187
22,2,"[-1, 0]",10.0,280
6,2,"[1, 0]",10.0,81
14,2,"[-1, 0]",10.0,278
22,2,"[1, 0]",10.0,135
14,2,"[-1, 0]",3.0,143
6,2,"[1, 0]",10.0,101
10,2,"[1, 0]",3.0,57
22,2,"[1, 0]",3.0,10
14,2,"[-1, 0]",10.0,243
10,2,"[-1, 0]",10.0,267
22,2,"[-1, 0]",3.0,145
6,2,"[-1, 0]",10.0,266
10,2,"[-1, 0]",10.0,217
6,2,"[1, 0]",3.0,51
14,2,"[-1, 0]",3.0,158
10,2,"[-1, 0]",10.0,257
10,2,"[1, 0]",10.0,132
14,2,"[1, 0]",3.0,58
22,2,"[-1, 0]",10.0,255
6,2,"[1, 0]",3.0,26
22,2,"[1, 0]",10.0,115
18,2,"[-1, 0]",10.0,279
6,2,"[-1, 0]",3.0,156
22,2,"[-1, 0]",10.0,265
14,2,"[-1, 0]",10.0,263
14,2,"[1, 0]",3.0,3
6,2,"[-1, 0]",3.0,171
18,2,"[-1, 0]",10.0,249
18,2,"[1, 0]",3.0,49
14,2,"[1, 0]",3.0,18
6,2,"[1, 0]",3.0,1
6,2,"[-1, 0]",3.0,161
14,2,"[-1, 0]",3.0,153
14,2,"[1, 0]",10.0,108
6,2,"[-1, 0]",10.0,231
6,2,"[1, 0]",3.0,41
22,2,"[1, 0]",10.0,110
22,2,"[1, 0]",10.0,125
14,2,"[1, 0]",10.0,118
22,2,"[-1, 0]",3.0,200
22,2,"[-1, 0]",3.0,155
18,2,"[-1, 0]",3.0,204
14,2,"[-1, 0]",10.0,253
14,2,"[-1, 0]",3.0,168
10,2,"[1, 0]",3.0,22
14,2,"[1, 0]",10.0,83
10,2,"[1, 0]",10.0,72
6,2,"[1, 0]",3.0,56
10,2,"[-1, 0]",10.0,232
10,2,"[-1, 0]",3.0,142
10,2,"[1, 0]",10.0,82
10,2,"[-1, 0]",3.0,147
22,2,"[1, 0]",3.0,45
22,2,"[1, 0]",10.0,120
6,2,"[1, 0]",3.0,11
18,2,"[-1, 0]",10.0,214
10,2,"[1, 0]",3.0,47
10,2,"[1, 0]",10.0,92
6,2,"[1, 0]",10.0,96
10,2,"[1, 0]",10.0,112
18,2,"[-1, 0]",3.0,164
22,2,"[1, 0]",10.0,75
18,2,"[-1, 0]",3.0,144
22,2,"[1, 0]",3.0,35
10,2,"[-1, 0]",10.0,227
14,2,"[1, 0]",10.0,93
14,2,"[1, 0]",10.0,133
18,2,"[-1, 0]",3.0,159
14,2,"[-1, 0]",3.0,188
6,2,"[1, 0]",10.0,131
14,2,"[1, 0]",10.0,98
6,2,"[-1, 0]",10.0,226
6,2,"[-1, 0]",10.0,246
6,2,"[1, 0]",3.0,46
18,2,"[1, 0]",10.0,119
10,2,"[-1, 0]",10.0,242
10,2,"[1, 0]",3.0,32
18,2,"[1, 0]",3.0,9
6,2,"[-1, 0]",3.0,196
18,2,"[-1, 0]",3.0,194
18,2,"[-1, 0]",3.0,199
18,2,"[1, 0]",3.0,19
22,2,"[-1, 0]",10.0,240
18,2,"[1, 0]",10.0,124
6,2,"[1, 0]",10.0,91
