X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,990,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,red,1
Chrome,1050,null,null,1024,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,colorful,1
Chrome,1050,null,null,991,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,odd,1
Chrome,1050,null,null,971,83,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,red,0
Chrome,1050,null,null,1010,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,colorful,1
Chrome,1050,null,null,1024,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,odd,1
Chrome,1050,null,null,1032,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,odd,1
Chrome,1050,null,null,1003,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,colorful,1
Chrome,1050,null,null,988,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,red,1
Chrome,1050,null,null,989,83,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,colorful,0
Chrome,1050,null,null,1037,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,red,1
Chrome,1050,null,null,1045,83,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,odd,0
Chrome,1050,null,null,1046,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,red,1
Chrome,1050,null,null,1000,83,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,colorful,0
Chrome,1050,null,null,963,83,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,colorful,0
Chrome,1050,null,null,1002,83,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,odd,0
Chrome,1050,null,null,1038,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,odd,1
Chrome,1050,null,null,961,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,red,1
Chrome,1050,null,null,1044,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,red,1
Chrome,1050,null,null,1005,83,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,colorful,0
Chrome,1050,null,null,1037,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,red,1
Chrome,1050,null,null,979,83,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,colorful,0
Chrome,1050,null,null,1033,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,odd,1
Chrome,1050,null,null,959,83,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,colorful,0
Chrome,1050,null,null,954,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,red,1
Chrome,1050,null,null,970,76,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,odd,1
Chrome,1050,2019-09-10T15:57:33.542Z,A lot of those looked like they were going at the same rate. I tried to decide the best I could. That was a fun experiment.,956,83,2019-09-10T15:45:31.019Z,A3DS5B06ZCD3E3,odd,0
