experimentPhase,trialnum,subject,task,answerPos0,cueSpatialPos1,cueEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_two_streams_bigger_cue_size_new ,0 ,3 , T1 ,6 ,"[1, 0] ",10.0 ,S ,R ,P ,Z ,N ,K ,U ,I ,M ,F ,H ,W ,Q ,C ,Y ,G ,L ,V ,D ,B ,E ,A ,X ,J ,O ,T ,E ,S ,G ,Y ,R ,  ,D ,C ,W ,U ,K ,Q ,N ,O ,H ,M ,B ,V ,F ,Z ,I ,T ,P ,X ,J ,L ,0
RSVP_two_streams_bigger_cue_size_new ,1 ,3 , T1 ,14 ,"[-1, 0] ",10.0 ,W ,I ,M ,V ,B ,Q ,H ,G ,Y ,S ,A ,J ,X ,R ,P ,E ,L ,T ,O ,K ,D ,N ,Z ,C ,F ,U ,H ,J ,K ,B ,T ,Z ,Q ,X ,S ,P ,N ,C ,F ,  ,I ,W ,E ,M ,R ,D ,O ,L ,A ,U ,G ,V ,0
RSVP_two_streams_bigger_cue_size_new ,2 ,3 , T1 ,6 ,"[-1, 0] ",10.0 ,Y ,M ,Z ,C ,Q ,F ,T ,A ,G ,K ,J ,E ,V ,H ,B ,W ,I ,X ,D ,U ,R ,L ,S ,P ,O ,N ,U ,F ,G ,L ,O ,  ,P ,D ,Z ,S ,C ,A ,I ,R ,B ,V ,K ,J ,H ,M ,Q ,W ,N ,T ,X ,E ,0
RSVP_two_streams_bigger_cue_size_new ,3 ,3 , T1 ,10 ,"[1, 0] ",10.0 ,B ,X ,V ,K ,D ,N ,Q ,M ,R ,E ,U ,O ,L ,Z ,H ,I ,T ,J ,C ,G ,Y ,W ,A ,F ,P ,S ,A ,N ,U ,W ,M ,X ,T ,E ,B ,  ,D ,L ,F ,R ,O ,I ,C ,S ,Y ,P ,J ,Q ,G ,V ,Z ,H ,0
RSVP_two_streams_bigger_cue_size_new ,4 ,3 , T1 ,14 ,"[1, 0] ",10.0 ,D ,E ,T ,H ,J ,X ,G ,P ,Y ,M ,Q ,K ,F ,I ,A ,U ,B ,V ,Z ,O ,S ,L ,C ,N ,R ,W ,D ,Y ,I ,C ,A ,V ,S ,Z ,R ,H ,N ,U ,G ,  ,M ,X ,K ,J ,P ,T ,L ,W ,B ,O ,F ,E ,0
RSVP_two_streams_bigger_cue_size_new ,5 ,3 , T1 ,6 ,"[1, 0] ",3.0 ,P ,C ,J ,X ,A ,F ,O ,S ,V ,W ,Q ,E ,R ,G ,L ,U ,M ,K ,Z ,B ,T ,D ,Y ,I ,N ,H ,C ,W ,B ,G ,I ,  ,O ,R ,E ,L ,F ,S ,M ,J ,P ,Z ,D ,A ,Q ,H ,Y ,N ,X ,V ,K ,U ,0
RSVP_two_streams_bigger_cue_size_new ,6 ,3 , T1 ,22 ,"[-1, 0] ",3.0 ,E ,D ,W ,I ,R ,N ,V ,M ,X ,J ,Y ,T ,P ,G ,B ,L ,F ,Q ,K ,H ,U ,A ,C ,Z ,O ,S ,A ,K ,R ,X ,C ,Z ,H ,Y ,L ,E ,I ,T ,O ,S ,D ,Q ,F ,N ,W ,B ,U ,  ,M ,G ,P ,J ,0
RSVP_two_streams_bigger_cue_size_new ,7 ,3 , T1 ,6 ,"[-1, 0] ",10.0 ,S ,I ,M ,Z ,G ,E ,Q ,F ,P ,Y ,R ,D ,V ,N ,C ,L ,B ,W ,J ,A ,K ,X ,T ,O ,U ,H ,M ,W ,B ,Z ,X ,  ,V ,I ,Y ,H ,A ,G ,Q ,L ,D ,N ,F ,O ,C ,S ,P ,E ,T ,K ,J ,R ,0
RSVP_two_streams_bigger_cue_size_new ,8 ,3 , T1 ,18 ,"[1, 0] ",10.0 ,Z ,U ,G ,R ,I ,T ,Y ,E ,N ,P ,Q ,L ,C ,B ,A ,F ,W ,S ,K ,O ,H ,X ,J ,V ,M ,D ,K ,M ,W ,P ,U ,G ,J ,R ,O ,I ,H ,Y ,Q ,V ,C ,X ,A ,  ,T ,L ,N ,Z ,E ,S ,D ,B ,0
RSVP_two_streams_bigger_cue_size_new ,9 ,3 , T1 ,6 ,"[1, 0] ",3.0 ,P ,K ,L ,N ,J ,X ,G ,T ,D ,W ,Z ,C ,I ,E ,M ,V ,R ,S ,Y ,U ,A ,O ,Q ,H ,B ,F ,G ,K ,E ,U ,Q ,  ,Y ,F ,A ,M ,B ,R ,Z ,I ,O ,D ,N ,P ,X ,H ,W ,L ,S ,J ,C ,T ,0
RSVP_two_streams_bigger_cue_size_new ,10 ,3 , T1 ,14 ,"[1, 0] ",10.0 ,B ,D ,H ,U ,V ,M ,A ,N ,S ,T ,F ,P ,R ,W ,Y ,K ,E ,O ,C ,X ,I ,L ,Z ,J ,G ,Q ,C ,H ,O ,U ,Q ,K ,T ,X ,L ,P ,J ,N ,Y ,  ,A ,R ,I ,G ,V ,B ,S ,Z ,F ,D ,E ,M ,0
