trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
241,"[1, 0]",6,2,2
197,"[1, 0]",22,2,2
198,"[1, 0]",22,2,10
259,"[-1, 0]",22,2,2
21,"[1, 0]",6,2,2
35,"[-1, 0]",18,2,2
263,"[-1, 0]",6,2,2
85,"[1, 0]",10,2,2
199,"[-1, 0]",22,2,2
245,"[1, 0]",10,2,2
87,"[-1, 0]",10,2,2
149,"[1, 0]",14,2,2
271,"[-1, 0]",14,2,2
107,"[-1, 0]",10,2,2
176,"[-1, 0]",18,2,10
30,"[1, 0]",14,2,10
189,"[1, 0]",14,2,2
167,"[-1, 0]",10,2,2
224,"[-1, 0]",6,2,10
113,"[1, 0]",18,2,2
60,"[-1, 0]",22,2,10
234,"[1, 0]",18,2,10
46,"[1, 0]",10,2,10
25,"[1, 0]",10,2,2
90,"[1, 0]",14,2,10
186,"[1, 0]",10,2,10
125,"[1, 0]",10,2,2
206,"[1, 0]",10,2,10
168,"[-1, 0]",10,2,10
233,"[1, 0]",18,2,2
11,"[-1, 0]",14,2,2
29,"[1, 0]",14,2,2
104,"[-1, 0]",6,2,10
129,"[1, 0]",14,2,2
254,"[1, 0]",18,2,10
31,"[-1, 0]",14,2,2
250,"[1, 0]",14,2,10
143,"[-1, 0]",6,2,2
72,"[-1, 0]",14,2,10
252,"[-1, 0]",14,2,10
28,"[-1, 0]",10,2,10
120,"[-1, 0]",22,2,10
122,"[1, 0]",6,2,10
202,"[1, 0]",6,2,10
156,"[-1, 0]",18,2,10
267,"[-1, 0]",10,2,2
103,"[-1, 0]",6,2,2
63,"[-1, 0]",6,2,2
111,"[-1, 0]",14,2,2
32,"[-1, 0]",14,2,10
110,"[1, 0]",14,2,10
145,"[1, 0]",10,2,2
115,"[-1, 0]",18,2,2
242,"[1, 0]",6,2,10
101,"[1, 0]",6,2,2
73,"[1, 0]",18,2,2
10,"[1, 0]",14,2,10
59,"[-1, 0]",22,2,2
276,"[-1, 0]",18,2,10
79,"[-1, 0]",22,2,2
196,"[-1, 0]",18,2,10
2,"[1, 0]",6,2,10
270,"[1, 0]",14,2,10
13,"[1, 0]",18,2,2
20,"[-1, 0]",22,2,10
184,"[-1, 0]",6,2,10
190,"[1, 0]",14,2,10
22,"[1, 0]",6,2,10
215,"[-1, 0]",18,2,2
26,"[1, 0]",10,2,10
45,"[1, 0]",10,2,2
3,"[-1, 0]",6,2,2
121,"[1, 0]",6,2,2
261,"[1, 0]",6,2,2
34,"[1, 0]",18,2,10
100,"[-1, 0]",22,2,10
12,"[-1, 0]",14,2,10
69,"[1, 0]",14,2,2
150,"[1, 0]",14,2,10
140,"[-1, 0]",22,2,10
77,"[1, 0]",22,2,2
166,"[1, 0]",10,2,10
249,"[1, 0]",14,2,2
5,"[1, 0]",10,2,2
