trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
221,"[1, 0]",6,2,2
201,"[1, 0]",6,2,2
246,"[1, 0]",10,2,10
254,"[1, 0]",18,2,10
99,"[-1, 0]",22,2,2
47,"[-1, 0]",10,2,2
7,"[-1, 0]",10,2,2
245,"[1, 0]",10,2,2
279,"[-1, 0]",22,2,2
50,"[1, 0]",14,2,10
197,"[1, 0]",22,2,2
79,"[-1, 0]",22,2,2
116,"[-1, 0]",18,2,10
22,"[1, 0]",6,2,10
275,"[-1, 0]",18,2,2
147,"[-1, 0]",10,2,2
191,"[-1, 0]",14,2,2
127,"[-1, 0]",10,2,2
163,"[-1, 0]",6,2,2
146,"[1, 0]",10,2,10
182,"[1, 0]",6,2,10
214,"[1, 0]",18,2,10
148,"[-1, 0]",10,2,10
237,"[1, 0]",22,2,2
6,"[1, 0]",10,2,10
265,"[1, 0]",10,2,2
153,"[1, 0]",18,2,2
40,"[-1, 0]",22,2,10
134,"[1, 0]",18,2,10
200,"[-1, 0]",22,2,10
65,"[1, 0]",10,2,2
37,"[1, 0]",22,2,2
14,"[1, 0]",18,2,10
9,"[1, 0]",14,2,2
277,"[1, 0]",22,2,2
76,"[-1, 0]",18,2,10
108,"[-1, 0]",10,2,10
125,"[1, 0]",10,2,2
247,"[-1, 0]",10,2,2
86,"[1, 0]",10,2,10
257,"[1, 0]",22,2,2
60,"[-1, 0]",22,2,10
278,"[1, 0]",22,2,10
270,"[1, 0]",14,2,10
272,"[-1, 0]",14,2,10
145,"[1, 0]",10,2,2
106,"[1, 0]",10,2,10
59,"[-1, 0]",22,2,2
213,"[1, 0]",18,2,2
121,"[1, 0]",6,2,2
102,"[1, 0]",6,2,10
132,"[-1, 0]",14,2,10
55,"[-1, 0]",18,2,2
109,"[1, 0]",14,2,2
20,"[-1, 0]",22,2,10
222,"[1, 0]",6,2,10
137,"[1, 0]",22,2,2
229,"[1, 0]",14,2,2
258,"[1, 0]",22,2,10
165,"[1, 0]",10,2,2
177,"[1, 0]",22,2,2
168,"[-1, 0]",10,2,10
24,"[-1, 0]",6,2,10
94,"[1, 0]",18,2,10
43,"[-1, 0]",6,2,2
126,"[1, 0]",10,2,10
4,"[-1, 0]",6,2,10
90,"[1, 0]",14,2,10
68,"[-1, 0]",10,2,10
159,"[-1, 0]",22,2,2
238,"[1, 0]",22,2,10
198,"[1, 0]",22,2,10
225,"[1, 0]",10,2,2
8,"[-1, 0]",10,2,10
233,"[1, 0]",18,2,2
155,"[-1, 0]",18,2,2
19,"[-1, 0]",22,2,2
105,"[1, 0]",10,2,2
120,"[-1, 0]",22,2,10
151,"[-1, 0]",14,2,2
13,"[1, 0]",18,2,2
189,"[1, 0]",14,2,2
236,"[-1, 0]",18,2,10
36,"[-1, 0]",18,2,10
183,"[-1, 0]",6,2,2
69,"[1, 0]",14,2,2
91,"[-1, 0]",14,2,2
167,"[-1, 0]",10,2,2
140,"[-1, 0]",22,2,10
5,"[1, 0]",10,2,2
49,"[1, 0]",14,2,2
204,"[-1, 0]",6,2,10
98,"[1, 0]",22,2,10
261,"[1, 0]",6,2,2
223,"[-1, 0]",6,2,2
104,"[-1, 0]",6,2,10
174,"[1, 0]",18,2,10
88,"[-1, 0]",10,2,10
61,"[1, 0]",6,2,2
192,"[-1, 0]",14,2,10
211,"[-1, 0]",14,2,2
259,"[-1, 0]",22,2,2
280,"[-1, 0]",22,2,10
206,"[1, 0]",10,2,10
248,"[-1, 0]",10,2,10
78,"[1, 0]",22,2,10
170,"[1, 0]",14,2,10
48,"[-1, 0]",10,2,10
26,"[1, 0]",10,2,10
3,"[-1, 0]",6,2,2
51,"[-1, 0]",14,2,2
31,"[-1, 0]",14,2,2
64,"[-1, 0]",6,2,10
123,"[-1, 0]",6,2,2
227,"[-1, 0]",10,2,2
252,"[-1, 0]",14,2,10
117,"[1, 0]",22,2,2
131,"[-1, 0]",14,2,2
231,"[-1, 0]",14,2,2
129,"[1, 0]",14,2,2
186,"[1, 0]",10,2,10
103,"[-1, 0]",6,2,2
175,"[-1, 0]",18,2,2
164,"[-1, 0]",6,2,10
84,"[-1, 0]",6,2,10
264,"[-1, 0]",6,2,10
44,"[-1, 0]",6,2,10
267,"[-1, 0]",10,2,2
42,"[1, 0]",6,2,10
205,"[1, 0]",10,2,2
58,"[1, 0]",22,2,10
196,"[-1, 0]",18,2,10
156,"[-1, 0]",18,2,10
2,"[1, 0]",6,2,10
256,"[-1, 0]",18,2,10
269,"[1, 0]",14,2,2
260,"[-1, 0]",22,2,10
220,"[-1, 0]",22,2,10
242,"[1, 0]",6,2,10
115,"[-1, 0]",18,2,2
208,"[-1, 0]",10,2,10
160,"[-1, 0]",22,2,10
87,"[-1, 0]",10,2,2
187,"[-1, 0]",10,2,2
