experimentPhase,trialnum,subject,task,answerPos0,cueSpatialPos1,cueEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_two_streams_bigger_cue_size_different_rates ,0 ,4 , T1 ,23 ,"[1, 0] ",3.0 ,P ,S ,F ,I ,K ,T ,Q ,G ,U ,R ,Y ,Z ,J ,W ,O ,D ,X ,E ,L ,N ,V ,C ,A ,H ,B ,M ,Z ,  ,A ,  ,R ,  ,T ,  ,B ,  ,D ,  ,C ,  ,I ,  ,O ,  ,W ,  ,U ,  ,cue ,  ,S ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,1 ,4 , T1 ,7 ,"[-1, 0] ",3.0 ,O ,Q ,B ,D ,W ,Y ,X ,P ,G ,A ,M ,C ,I ,E ,R ,K ,U ,N ,V ,Z ,T ,H ,L ,J ,F ,S ,Q ,  ,R ,  ,H ,  ,cue ,  ,M ,  ,N ,  ,F ,  ,X ,  ,D ,  ,G ,  ,O ,  ,K ,  ,J ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,2 ,4 , T1 ,7 ,"[-1, 0] ",3.0 ,I ,H ,P ,F ,O ,Y ,Z ,S ,L ,K ,E ,V ,D ,G ,B ,Q ,T ,W ,X ,R ,M ,C ,A ,N ,U ,J ,G ,  ,K ,  ,A ,  ,cue ,  ,B ,  ,S ,  ,O ,  ,U ,  ,Z ,  ,Q ,  ,M ,  ,T ,  ,W ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,3 ,4 , T1 ,23 ,"[-1, 0] ",3.0 ,S ,V ,I ,K ,M ,U ,Y ,R ,O ,N ,C ,L ,H ,E ,W ,Q ,X ,D ,Z ,F ,J ,B ,T ,A ,G ,P ,A ,  ,F ,  ,B ,  ,V ,  ,M ,  ,D ,  ,R ,  ,N ,  ,W ,  ,E ,  ,X ,  ,cue ,  ,Q ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,4 ,4 , T1 ,15 ,"[1, 0] ",3.0 ,D ,O ,W ,J ,N ,H ,Y ,S ,E ,P ,T ,X ,C ,R ,M ,U ,V ,I ,A ,F ,K ,L ,G ,Z ,Q ,B ,E ,  ,Z ,  ,X ,  ,M ,  ,O ,  ,N ,  ,W ,  ,cue ,  ,S ,  ,Y ,  ,P ,  ,F ,  ,D ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,5 ,4 , T1 ,23 ,"[-1, 0] ",10.0 ,Y ,B ,C ,D ,M ,F ,T ,S ,H ,Q ,I ,L ,V ,X ,G ,E ,U ,R ,P ,A ,N ,K ,W ,O ,Z ,J ,Z ,  ,I ,  ,J ,  ,X ,  ,V ,  ,P ,  ,R ,  ,G ,  ,O ,  ,Q ,  ,M ,  ,cue ,  ,D ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,6 ,4 , T1 ,23 ,"[1, 0] ",10.0 ,Y ,K ,D ,W ,O ,L ,Q ,V ,F ,I ,T ,Z ,H ,X ,J ,S ,R ,G ,U ,A ,B ,P ,C ,E ,M ,N ,T ,  ,M ,  ,S ,  ,B ,  ,Y ,  ,N ,  ,O ,  ,P ,  ,A ,  ,X ,  ,W ,  ,cue ,  ,H ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,7 ,4 , T1 ,11 ,"[-1, 0] ",3.0 ,T ,J ,L ,K ,S ,N ,B ,X ,Z ,U ,G ,H ,I ,M ,E ,R ,O ,A ,F ,D ,C ,Q ,P ,W ,Y ,V ,H ,  ,X ,  ,P ,  ,L ,  ,R ,  ,cue ,  ,O ,  ,M ,  ,F ,  ,S ,  ,K ,  ,T ,  ,Q ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,8 ,4 , T1 ,15 ,"[1, 0] ",10.0 ,I ,O ,D ,F ,A ,V ,K ,C ,H ,Q ,M ,P ,L ,G ,W ,N ,J ,E ,B ,U ,R ,Y ,S ,T ,X ,Z ,O ,  ,J ,  ,K ,  ,Z ,  ,X ,  ,H ,  ,P ,  ,cue ,  ,S ,  ,A ,  ,D ,  ,R ,  ,Y ,  ,1
RSVP_two_streams_bigger_cue_size_different_rates ,9 ,4 , T1 ,23 ,"[-1, 0] ",10.0 ,K ,E ,I ,S ,H ,G ,W ,F ,V ,B ,U ,D ,Y ,O ,M ,R ,T ,P ,J ,X ,A ,Q ,C ,N ,L ,Z ,C ,  ,N ,  ,D ,  ,P ,  ,S ,  ,A ,  ,M ,  ,F ,  ,J ,  ,G ,  ,X ,  ,cue ,  ,Z ,  ,0
