experimentPhase	trialnum	subject	task	answerPos0	cueSpatialPos1	cueEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_two_streams_bigger_cue_size_different_rates 	0 	3 	 T1 	7 	[-1, 0] 	3.0 	U 	L 	B 	I 	Z 	C 	M 	F 	G 	P 	R 	Y 	Q 	V 	A 	O 	D 	E 	W 	J 	S 	H 	N 	K 	X 	T 	X 	  	T 	  	M 	  	cue 	  	P 	  	D 	  	V 	  	Q 	  	H 	  	R 	  	Z 	  	W 	  	N 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	1 	3 	 T1 	19 	[1, 0] 	3.0 	W 	L 	H 	S 	J 	M 	A 	X 	C 	U 	F 	T 	K 	Y 	O 	I 	Z 	D 	Q 	R 	B 	V 	N 	E 	G 	P 	E 	  	N 	  	D 	  	I 	  	M 	  	X 	  	B 	  	J 	  	V 	  	cue 	  	F 	  	T 	  	G 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	2 	3 	 T1 	11 	[-1, 0] 	3.0 	T 	Y 	G 	H 	L 	K 	B 	D 	S 	M 	A 	I 	X 	U 	P 	F 	J 	W 	R 	V 	N 	Z 	Q 	C 	E 	O 	M 	  	I 	  	S 	  	V 	  	Y 	  	cue 	  	K 	  	A 	  	W 	  	G 	  	N 	  	R 	  	X 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	3 	3 	 T1 	11 	[-1, 0] 	10.0 	E 	P 	T 	B 	S 	H 	Q 	D 	N 	G 	U 	W 	J 	Y 	M 	C 	R 	F 	I 	Z 	K 	A 	L 	O 	V 	X 	Q 	  	C 	  	H 	  	Z 	  	N 	  	cue 	  	R 	  	E 	  	B 	  	O 	  	A 	  	W 	  	S 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	4 	3 	 T1 	7 	[-1, 0] 	10.0 	P 	J 	H 	V 	R 	L 	W 	A 	E 	Z 	Q 	F 	S 	N 	C 	B 	T 	U 	Y 	X 	D 	K 	O 	I 	G 	M 	Z 	  	V 	  	X 	  	cue 	  	S 	  	E 	  	L 	  	A 	  	W 	  	N 	  	U 	  	J 	  	O 	  	1
RSVP_two_streams_bigger_cue_size_different_rates 	5 	3 	 T1 	23 	[1, 0] 	3.0 	B 	R 	E 	G 	L 	Q 	K 	U 	Y 	Z 	V 	P 	S 	I 	T 	D 	F 	W 	X 	M 	O 	J 	N 	A 	C 	H 	Z 	  	E 	  	N 	  	D 	  	L 	  	M 	  	T 	  	F 	  	B 	  	I 	  	P 	  	cue 	  	O 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	6 	3 	 T1 	19 	[1, 0] 	10.0 	M 	J 	W 	C 	T 	P 	B 	E 	O 	U 	Q 	N 	R 	V 	S 	H 	K 	I 	F 	Y 	A 	D 	Z 	X 	L 	G 	H 	  	N 	  	P 	  	R 	  	A 	  	W 	  	O 	  	E 	  	F 	  	cue 	  	K 	  	I 	  	M 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	7 	3 	 T1 	11 	[1, 0] 	3.0 	A 	O 	N 	M 	E 	Q 	C 	W 	K 	V 	F 	J 	H 	Y 	Z 	R 	U 	X 	I 	D 	L 	P 	B 	S 	T 	G 	K 	  	R 	  	V 	  	J 	  	P 	  	cue 	  	S 	  	D 	  	C 	  	T 	  	H 	  	B 	  	Z 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	8 	3 	 T1 	15 	[1, 0] 	3.0 	U 	X 	I 	K 	Y 	N 	H 	L 	R 	Q 	F 	O 	V 	S 	B 	A 	E 	C 	T 	P 	G 	Z 	J 	W 	M 	D 	X 	  	B 	  	R 	  	W 	  	D 	  	L 	  	M 	  	cue 	  	Z 	  	N 	  	P 	  	J 	  	V 	  	2
RSVP_two_streams_bigger_cue_size_different_rates 	9 	3 	 T1 	23 	[-1, 0] 	3.0 	R 	H 	U 	Q 	P 	W 	T 	L 	O 	I 	S 	X 	M 	V 	D 	F 	K 	C 	B 	Z 	Y 	J 	G 	N 	A 	E 	Q 	  	H 	  	G 	  	U 	  	O 	  	W 	  	X 	  	V 	  	T 	  	K 	  	N 	  	cue 	  	M 	  	0
