trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
159,"[-1, 0]",18,2,2
22,"[1, 0]",10,2,2
49,"[1, 0]",18,2,2
75,"[1, 0]",22,2,10
251,"[-1, 0]",6,2,10
195,"[-1, 0]",22,2,2
193,"[-1, 0]",14,2,2
43,"[1, 0]",14,2,2
246,"[-1, 0]",6,2,10
271,"[-1, 0]",6,2,10
86,"[1, 0]",6,2,10
65,"[1, 0]",22,2,2
173,"[-1, 0]",14,2,2
254,"[-1, 0]",18,2,10
124,"[1, 0]",18,2,10
260,"[-1, 0]",22,2,10
167,"[-1, 0]",10,2,2
214,"[-1, 0]",18,2,10
120,"[1, 0]",22,2,10
264,"[-1, 0]",18,2,10
181,"[-1, 0]",6,2,2
68,"[1, 0]",14,2,2
4,"[1, 0]",18,2,2
142,"[-1, 0]",10,2,2
278,"[-1, 0]",14,2,10
166,"[-1, 0]",6,2,2
258,"[-1, 0]",14,2,10
161,"[-1, 0]",6,2,2
98,"[1, 0]",14,2,10
226,"[-1, 0]",6,2,10
235,"[-1, 0]",22,2,10
118,"[1, 0]",14,2,10
261,"[-1, 0]",6,2,10
91,"[1, 0]",6,2,10
88,"[1, 0]",14,2,10
184,"[-1, 0]",18,2,2
12,"[1, 0]",10,2,2
196,"[-1, 0]",6,2,2
69,"[1, 0]",18,2,2
100,"[1, 0]",22,2,10
18,"[1, 0]",14,2,2
134,"[1, 0]",18,2,10
200,"[-1, 0]",22,2,2
29,"[1, 0]",18,2,2
123,"[1, 0]",14,2,10
243,"[-1, 0]",14,2,10
113,"[1, 0]",14,2,10
220,"[-1, 0]",22,2,10
276,"[-1, 0]",6,2,10
255,"[-1, 0]",22,2,10
240,"[-1, 0]",22,2,10
279,"[-1, 0]",18,2,10
244,"[-1, 0]",18,2,10
189,"[-1, 0]",18,2,2
66,"[1, 0]",6,2,2
138,"[1, 0]",14,2,10
89,"[1, 0]",18,2,10
245,"[-1, 0]",22,2,10
241,"[-1, 0]",6,2,10
70,"[1, 0]",22,2,2
198,"[-1, 0]",14,2,2
130,"[1, 0]",22,2,10
96,"[1, 0]",6,2,10
117,"[1, 0]",10,2,10
133,"[1, 0]",14,2,10
218,"[-1, 0]",14,2,10
144,"[-1, 0]",18,2,2
109,"[1, 0]",18,2,10
148,"[-1, 0]",14,2,2
74,"[1, 0]",18,2,10
169,"[-1, 0]",18,2,2
203,"[-1, 0]",14,2,2
162,"[-1, 0]",10,2,2
257,"[-1, 0]",10,2,10
31,"[1, 0]",6,2,2
236,"[-1, 0]",6,2,10
158,"[-1, 0]",14,2,2
106,"[1, 0]",6,2,10
153,"[-1, 0]",14,2,2
5,"[1, 0]",22,2,2
266,"[-1, 0]",6,2,10
125,"[1, 0]",22,2,10
102,"[1, 0]",10,2,10
11,"[1, 0]",6,2,2
247,"[-1, 0]",10,2,10
175,"[-1, 0]",22,2,2
269,"[-1, 0]",18,2,10
50,"[1, 0]",22,2,2
183,"[-1, 0]",14,2,2
76,"[1, 0]",6,2,10
135,"[1, 0]",22,2,10
268,"[-1, 0]",14,2,10
44,"[1, 0]",18,2,2
67,"[1, 0]",10,2,2
192,"[-1, 0]",10,2,2
40,"[1, 0]",22,2,2
126,"[1, 0]",6,2,10
7,"[1, 0]",10,2,2
116,"[1, 0]",6,2,10
54,"[1, 0]",18,2,2
197,"[-1, 0]",10,2,2
207,"[-1, 0]",10,2,2
33,"[1, 0]",14,2,2
212,"[-1, 0]",10,2,10
191,"[-1, 0]",6,2,2
