experimentPhase,trialnum,subject,task,answerPos0,cueSpatialPos1,cueEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_two_streams_bigger_cue_size ,0 ,2 , T1 ,14 ,"[-1, 0] ",10.0 ,H ,A ,F ,O ,Y ,D ,P ,Q ,W ,N ,L ,U ,V ,Z ,I ,R ,E ,T ,K ,G ,J ,C ,M ,S ,X ,B ,G ,X ,N ,I ,T ,M ,A ,F ,Z ,U ,H ,B ,E ,  ,K ,J ,V ,D ,P ,W ,R ,Y ,O ,L ,Q ,C ,0
RSVP_two_streams_bigger_cue_size ,1 ,2 , T1 ,18 ,"[-1, 0] ",3.0 ,V ,L ,R ,C ,B ,X ,D ,S ,J ,H ,M ,N ,I ,Y ,A ,T ,O ,E ,Z ,U ,Q ,P ,W ,K ,F ,G ,X ,Q ,A ,H ,U ,K ,L ,G ,C ,J ,S ,N ,D ,E ,M ,R ,Y ,  ,V ,I ,F ,Z ,P ,T ,O ,B ,0
RSVP_two_streams_bigger_cue_size ,2 ,2 , T1 ,22 ,"[1, 0] ",10.0 ,Z ,I ,R ,X ,E ,Q ,J ,W ,H ,P ,A ,N ,T ,D ,S ,C ,F ,U ,L ,M ,V ,K ,Y ,B ,O ,G ,V ,B ,P ,Q ,R ,D ,H ,T ,C ,Y ,O ,A ,W ,M ,S ,E ,U ,F ,X ,K ,N ,  ,J ,G ,L ,Z ,0
RSVP_two_streams_bigger_cue_size ,3 ,2 , T1 ,6 ,"[1, 0] ",10.0 ,N ,S ,Y ,Z ,R ,X ,U ,K ,C ,V ,Q ,D ,G ,H ,O ,L ,B ,A ,W ,E ,T ,F ,P ,I ,J ,M ,Y ,P ,K ,Z ,U ,  ,W ,Q ,L ,B ,C ,R ,I ,T ,V ,F ,E ,D ,H ,M ,O ,A ,N ,X ,J ,S ,2
RSVP_two_streams_bigger_cue_size ,4 ,2 , T1 ,6 ,"[-1, 0] ",10.0 ,D ,W ,C ,X ,P ,U ,O ,F ,Z ,A ,H ,S ,Q ,R ,K ,M ,I ,E ,N ,V ,G ,L ,J ,B ,T ,Y ,Y ,R ,S ,B ,F ,  ,V ,A ,I ,M ,J ,T ,E ,P ,C ,L ,H ,O ,D ,G ,K ,Z ,Q ,X ,U ,W ,0
RSVP_two_streams_bigger_cue_size ,5 ,2 , T1 ,18 ,"[1, 0] ",10.0 ,D ,T ,R ,U ,F ,E ,J ,G ,O ,M ,V ,P ,C ,B ,Y ,Z ,L ,W ,H ,A ,I ,N ,X ,S ,Q ,K ,P ,G ,H ,R ,Y ,V ,T ,A ,I ,M ,O ,L ,U ,D ,X ,N ,K ,  ,J ,S ,Q ,B ,F ,C ,E ,Z ,0
RSVP_two_streams_bigger_cue_size ,6 ,2 , T1 ,18 ,"[-1, 0] ",10.0 ,M ,G ,J ,P ,E ,Z ,I ,X ,C ,Q ,F ,R ,Y ,T ,O ,L ,K ,N ,D ,H ,W ,S ,V ,A ,U ,B ,F ,W ,V ,K ,R ,S ,Q ,D ,G ,I ,N ,H ,P ,A ,U ,M ,Y ,  ,O ,B ,T ,X ,Z ,E ,J ,C ,0
RSVP_two_streams_bigger_cue_size ,7 ,2 , T1 ,14 ,"[-1, 0] ",3.0 ,R ,D ,B ,L ,H ,C ,J ,G ,V ,N ,Q ,M ,S ,O ,U ,P ,A ,K ,W ,F ,E ,I ,Y ,X ,T ,Z ,G ,W ,J ,A ,Y ,O ,D ,I ,V ,M ,S ,H ,K ,  ,F ,R ,C ,Q ,T ,P ,X ,N ,L ,E ,Z ,U ,0
RSVP_two_streams_bigger_cue_size ,8 ,2 , T1 ,6 ,"[1, 0] ",10.0 ,O ,S ,K ,C ,H ,D ,M ,E ,Z ,P ,T ,R ,X ,J ,W ,V ,Q ,L ,N ,A ,Y ,I ,F ,U ,G ,B ,P ,W ,T ,K ,O ,  ,Y ,G ,Q ,Z ,H ,R ,B ,J ,C ,A ,U ,S ,L ,V ,X ,D ,I ,N ,F ,E ,0
RSVP_two_streams_bigger_cue_size ,9 ,2 , T1 ,14 ,"[1, 0] ",10.0 ,E ,I ,O ,R ,B ,W ,A ,T ,C ,D ,V ,Y ,M ,Q ,P ,K ,H ,S ,Z ,G ,F ,U ,L ,N ,X ,J ,L ,E ,M ,P ,S ,T ,W ,Y ,I ,A ,U ,K ,G ,  ,N ,Q ,O ,X ,H ,R ,D ,J ,B ,C ,F ,Z ,0
RSVP_two_streams_bigger_cue_size ,10 ,2 , T1 ,14 ,"[-1, 0] ",3.0 ,X ,V ,E ,K ,N ,M ,S ,D ,H ,L ,B ,T ,G ,R ,P ,W ,J ,O ,Z ,A ,C ,I ,Q ,F ,Y ,U ,M ,T ,F ,U ,B ,V ,Q ,R ,E ,C ,D ,J ,S ,  ,G ,P ,L ,Y ,A ,X ,H ,O ,I ,Z ,W ,K ,0
RSVP_two_streams_bigger_cue_size ,11 ,2 , T1 ,22 ,"[1, 0] ",3.0 ,M ,Q ,O ,T ,C ,F ,J ,L ,G ,D ,K ,H ,E ,N ,Z ,S ,V ,Y ,R ,P ,X ,B ,U ,I ,A ,W ,X ,A ,V ,Z ,D ,R ,J ,U ,K ,C ,S ,Q ,P ,M ,N ,I ,L ,W ,H ,T ,B ,  ,F ,E ,G ,Y ,0
RSVP_two_streams_bigger_cue_size ,12 ,2 , T1 ,6 ,"[-1, 0] ",3.0 ,B ,Z ,W ,S ,Q ,G ,D ,O ,R ,P ,A ,F ,U ,H ,J ,X ,C ,Y ,N ,T ,V ,M ,E ,K ,I ,L ,R ,X ,S ,A ,L ,  ,H ,C ,P ,D ,J ,M ,I ,G ,Z ,T ,V ,Q ,O ,K ,W ,B ,F ,N ,Y ,E ,1
RSVP_two_streams_bigger_cue_size ,13 ,2 , T1 ,6 ,"[-1, 0] ",3.0 ,C ,I ,J ,D ,W ,U ,T ,V ,H ,P ,Q ,R ,F ,N ,O ,X ,G ,Y ,B ,K ,Z ,A ,M ,L ,E ,S ,F ,T ,U ,R ,A ,  ,C ,B ,M ,G ,L ,X ,D ,W ,K ,I ,H ,S ,O ,Q ,Z ,Y ,N ,J ,P ,V ,0
RSVP_two_streams_bigger_cue_size ,14 ,2 , T1 ,22 ,"[-1, 0] ",3.0 ,Z ,X ,L ,H ,D ,Y ,U ,O ,I ,P ,K ,B ,M ,E ,G ,N ,R ,F ,T ,J ,V ,C ,W ,A ,S ,Q ,A ,F ,R ,T ,B ,M ,W ,Z ,O ,C ,X ,K ,I ,G ,E ,V ,H ,D ,N ,L ,U ,  ,P ,Q ,S ,J ,0
RSVP_two_streams_bigger_cue_size ,15 ,2 , T1 ,18 ,"[-1, 0] ",3.0 ,D ,F ,N ,E ,Z ,H ,P ,A ,L ,V ,C ,S ,U ,X ,I ,K ,T ,M ,G ,J ,B ,R ,Y ,W ,O ,Q ,U ,V ,A ,J ,D ,K ,Q ,Y ,Z ,X ,I ,N ,C ,W ,B ,R ,F ,  ,G ,M ,L ,P ,H ,T ,O ,S ,1
RSVP_two_streams_bigger_cue_size ,16 ,2 , T1 ,10 ,"[1, 0] ",10.0 ,A ,B ,L ,X ,C ,T ,Z ,M ,S ,R ,G ,K ,U ,Q ,E ,H ,Y ,W ,P ,V ,N ,D ,J ,F ,O ,I ,V ,L ,A ,P ,T ,J ,G ,M ,Z ,  ,D ,E ,O ,U ,H ,I ,B ,Y ,K ,X ,R ,S ,N ,Q ,F ,C ,0
RSVP_two_streams_bigger_cue_size ,17 ,2 , T1 ,18 ,"[1, 0] ",10.0 ,C ,N ,F ,V ,S ,H ,I ,P ,U ,Y ,M ,R ,X ,D ,T ,L ,Q ,A ,O ,B ,G ,W ,E ,K ,J ,Z ,P ,F ,B ,W ,H ,I ,V ,Q ,L ,R ,K ,E ,Y ,A ,J ,M ,N ,  ,S ,T ,U ,C ,G ,D ,X ,Z ,0
RSVP_two_streams_bigger_cue_size ,18 ,2 , T1 ,10 ,"[-1, 0] ",3.0 ,Z ,E ,V ,Q ,Y ,H ,X ,I ,D ,K ,M ,P ,R ,G ,T ,C ,L ,U ,A ,B ,F ,J ,W ,O ,S ,N ,E ,R ,B ,M ,W ,J ,X ,P ,S ,  ,C ,T ,Y ,G ,O ,H ,I ,D ,Z ,U ,A ,N ,V ,F ,L ,K ,0
RSVP_two_streams_bigger_cue_size ,19 ,2 , T1 ,22 ,"[1, 0] ",3.0 ,O ,L ,K ,S ,Q ,V ,T ,F ,G ,I ,J ,W ,P ,R ,N ,A ,B ,Z ,D ,U ,H ,X ,C ,Y ,M ,E ,E ,I ,B ,Z ,H ,G ,O ,J ,A ,K ,D ,W ,Y ,C ,L ,N ,X ,Q ,M ,S ,V ,  ,T ,P ,U ,R ,0
RSVP_two_streams_bigger_cue_size ,20 ,2 , T1 ,22 ,"[1, 0] ",10.0 ,U ,Q ,E ,R ,B ,C ,K ,J ,H ,O ,V ,G ,Z ,P ,M ,W ,F ,N ,T ,Y ,I ,S ,D ,A ,X ,L ,E ,G ,S ,T ,L ,O ,C ,I ,X ,B ,R ,Z ,J ,N ,P ,H ,A ,K ,Y ,M ,W ,  ,V ,F ,D ,Q ,0
RSVP_two_streams_bigger_cue_size ,21 ,2 , T1 ,10 ,"[1, 0] ",3.0 ,G ,M ,S ,C ,E ,Z ,X ,U ,R ,K ,W ,O ,Q ,B ,N ,F ,D ,L ,V ,T ,I ,A ,H ,P ,Y ,J ,F ,L ,Z ,I ,S ,W ,U ,H ,T ,  ,B ,K ,Q ,Y ,E ,V ,C ,G ,N ,R ,M ,O ,A ,X ,D ,J ,0
RSVP_two_streams_bigger_cue_size ,22 ,2 , T1 ,22 ,"[-1, 0] ",10.0 ,P ,M ,D ,O ,L ,C ,Y ,Z ,J ,X ,F ,E ,S ,G ,V ,B ,H ,U ,R ,Q ,A ,T ,N ,I ,K ,W ,W ,K ,D ,N ,U ,V ,T ,S ,B ,R ,Y ,O ,X ,M ,J ,E ,C ,G ,Z ,I ,L ,  ,Q ,F ,P ,H ,4
RSVP_two_streams_bigger_cue_size ,23 ,2 , T1 ,18 ,"[1, 0] ",10.0 ,I ,A ,N ,L ,Q ,G ,P ,M ,X ,F ,D ,S ,K ,O ,V ,U ,R ,H ,W ,C ,E ,Y ,J ,Z ,T ,B ,B ,L ,Q ,I ,V ,R ,J ,D ,T ,E ,U ,W ,S ,C ,P ,M ,Y ,  ,O ,G ,F ,N ,K ,X ,A ,H ,0
