experimentPhase	trialnum	subject	task	answerPos0	cueSpatialPos1	cueEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_two_streams_bigger_cue_size 	0 	10 	 T1 	6 	[-1, 0] 	3.0 	O 	X 	T 	D 	M 	Z 	G 	B 	S 	N 	C 	W 	V 	R 	K 	F 	L 	H 	U 	I 	P 	Y 	E 	J 	A 	Q 	P 	U 	M 	B 	S 	  	E 	A 	J 	L 	Q 	Y 	T 	F 	H 	O 	Z 	I 	W 	R 	D 	C 	N 	V 	G 	K 	0
RSVP_two_streams_bigger_cue_size 	1 	10 	 T1 	18 	[-1, 0] 	3.0 	G 	X 	H 	D 	S 	B 	Z 	C 	N 	E 	P 	Q 	F 	J 	M 	O 	Y 	U 	I 	A 	K 	V 	R 	W 	T 	L 	E 	G 	F 	M 	N 	A 	V 	B 	O 	C 	U 	H 	P 	I 	T 	R 	S 	  	X 	K 	Q 	L 	Z 	D 	Y 	J 	0
RSVP_two_streams_bigger_cue_size 	2 	10 	 T1 	18 	[1, 0] 	10.0 	Z 	L 	Y 	U 	B 	S 	P 	H 	G 	W 	O 	A 	C 	K 	N 	X 	Q 	R 	M 	E 	I 	V 	F 	J 	D 	T 	X 	N 	D 	W 	Y 	E 	B 	R 	S 	K 	P 	G 	L 	A 	M 	J 	H 	  	F 	C 	O 	Q 	V 	I 	U 	T 	0
RSVP_two_streams_bigger_cue_size 	3 	10 	 T1 	10 	[1, 0] 	3.0 	Y 	L 	Q 	H 	D 	F 	J 	S 	O 	B 	E 	P 	X 	G 	V 	A 	R 	U 	C 	T 	M 	N 	I 	W 	Z 	K 	P 	N 	B 	T 	J 	F 	Q 	R 	I 	  	H 	Z 	E 	O 	W 	M 	K 	U 	C 	G 	V 	X 	S 	D 	A 	Y 	0
RSVP_two_streams_bigger_cue_size 	4 	10 	 T1 	22 	[-1, 0] 	10.0 	I 	B 	V 	R 	J 	L 	U 	K 	T 	C 	Q 	X 	S 	W 	O 	N 	Y 	Z 	M 	E 	H 	F 	G 	P 	D 	A 	Q 	H 	D 	A 	S 	T 	X 	P 	B 	K 	M 	E 	U 	Z 	I 	G 	C 	R 	Y 	W 	N 	  	O 	V 	L 	J 	0
RSVP_two_streams_bigger_cue_size 	5 	10 	 T1 	6 	[-1, 0] 	10.0 	F 	J 	Q 	W 	K 	M 	U 	C 	Y 	E 	V 	L 	T 	B 	P 	G 	R 	H 	N 	S 	I 	D 	O 	Z 	A 	X 	B 	S 	E 	L 	N 	  	Y 	V 	Q 	J 	K 	U 	P 	Z 	T 	A 	H 	G 	O 	I 	M 	D 	R 	X 	F 	C 	0
RSVP_two_streams_bigger_cue_size 	6 	10 	 T1 	14 	[-1, 0] 	10.0 	W 	X 	R 	D 	E 	L 	F 	O 	K 	S 	Z 	C 	Y 	T 	G 	Q 	I 	J 	U 	H 	M 	B 	A 	P 	V 	N 	Y 	P 	L 	Z 	M 	T 	E 	Q 	F 	N 	H 	D 	V 	  	O 	W 	I 	C 	R 	B 	J 	S 	A 	X 	U 	G 	0
RSVP_two_streams_bigger_cue_size 	7 	10 	 T1 	14 	[1, 0] 	3.0 	H 	Q 	P 	K 	X 	J 	V 	N 	D 	M 	F 	I 	Z 	S 	B 	A 	O 	U 	Y 	G 	T 	E 	L 	C 	R 	W 	U 	I 	P 	Z 	O 	S 	T 	D 	M 	R 	K 	J 	N 	  	F 	W 	H 	B 	A 	V 	E 	G 	X 	C 	Q 	Y 	0
RSVP_two_streams_bigger_cue_size 	8 	10 	 T1 	14 	[1, 0] 	10.0 	L 	B 	I 	W 	Z 	Y 	T 	E 	M 	P 	R 	G 	F 	N 	U 	V 	D 	H 	A 	O 	C 	J 	Q 	X 	S 	K 	K 	F 	E 	D 	I 	A 	M 	B 	R 	H 	O 	V 	W 	  	J 	U 	Z 	X 	P 	N 	C 	L 	T 	G 	Q 	S 	0
RSVP_two_streams_bigger_cue_size 	9 	10 	 T1 	10 	[1, 0] 	10.0 	S 	M 	J 	Q 	Z 	D 	W 	G 	K 	B 	E 	N 	L 	F 	U 	R 	X 	Y 	C 	O 	V 	H 	P 	T 	A 	I 	M 	H 	W 	I 	J 	Z 	K 	T 	N 	  	X 	Y 	R 	C 	A 	P 	L 	V 	G 	U 	F 	S 	O 	B 	D 	Q 	0
