experimentPhase	trialnum	subject	task	answerPos0	ltrSpatialPos1	ltrEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_central_cue_between_letter_presentation 	0 	9 	 T1 	6 	[-1, 0] 	3.0 	G 	W 	E 	T 	U 	K 	C 	Y 	Q 	I 	R 	H 	B 	M 	X 	F 	O 	D 	N 	V 	A 	P 	Z 	J 	S 	L 	R 	E 	U 	G 	Z 	  	V 	J 	D 	W 	M 	I 	Q 	A 	C 	K 	T 	H 	X 	F 	L 	P 	Y 	S 	N 	O 	14
RSVP_central_cue_between_letter_presentation 	1 	9 	 T1 	6 	[1, 0] 	10.0 	P 	E 	Z 	U 	K 	H 	R 	Y 	V 	X 	I 	G 	D 	L 	N 	M 	Q 	B 	O 	S 	F 	T 	C 	J 	W 	A 	S 	P 	G 	Y 	R 	  	D 	Q 	Z 	F 	N 	T 	K 	B 	A 	I 	U 	E 	M 	H 	V 	O 	J 	X 	W 	L 	24
RSVP_central_cue_between_letter_presentation 	2 	9 	 T1 	10 	[-1, 0] 	3.0 	G 	N 	S 	E 	Y 	U 	H 	B 	L 	T 	W 	R 	D 	A 	C 	I 	K 	X 	J 	Z 	P 	V 	O 	F 	Q 	M 	D 	G 	W 	I 	T 	K 	C 	J 	U 	  	V 	Y 	A 	Z 	L 	B 	O 	P 	X 	E 	S 	F 	N 	M 	Q 	R 	0
RSVP_central_cue_between_letter_presentation 	3 	9 	 T1 	18 	[1, 0] 	10.0 	E 	L 	B 	A 	Z 	I 	H 	P 	D 	S 	M 	U 	F 	X 	Q 	J 	N 	V 	G 	R 	T 	O 	Y 	K 	C 	W 	Z 	Q 	N 	U 	S 	J 	W 	T 	E 	C 	Y 	L 	A 	O 	M 	B 	X 	  	F 	D 	R 	V 	H 	I 	G 	K 	0
RSVP_central_cue_between_letter_presentation 	4 	9 	 T1 	22 	[1, 0] 	10.0 	T 	C 	F 	J 	V 	P 	O 	M 	B 	W 	D 	E 	H 	Q 	Y 	K 	G 	L 	Z 	I 	A 	R 	X 	S 	N 	U 	R 	J 	Z 	M 	C 	E 	V 	O 	T 	N 	D 	A 	Q 	I 	U 	G 	P 	H 	X 	K 	B 	  	W 	S 	Y 	F 	0
RSVP_central_cue_between_letter_presentation 	5 	9 	 T1 	14 	[-1, 0] 	10.0 	C 	L 	M 	U 	Q 	B 	W 	Z 	O 	N 	P 	I 	Y 	F 	H 	V 	T 	K 	R 	E 	G 	J 	X 	S 	D 	A 	T 	S 	Q 	V 	F 	L 	A 	E 	I 	D 	M 	Y 	H 	  	R 	Z 	J 	C 	O 	B 	P 	W 	X 	G 	N 	U 	0
RSVP_central_cue_between_letter_presentation 	6 	9 	 T1 	10 	[-1, 0] 	10.0 	E 	A 	U 	F 	R 	M 	J 	D 	G 	K 	N 	W 	O 	Z 	I 	T 	V 	X 	S 	Q 	Y 	C 	P 	H 	L 	B 	B 	U 	R 	N 	O 	S 	W 	C 	X 	  	T 	F 	Q 	E 	D 	P 	K 	L 	Y 	V 	J 	A 	I 	M 	G 	H 	0
RSVP_central_cue_between_letter_presentation 	7 	9 	 T1 	18 	[1, 0] 	3.0 	G 	Q 	A 	I 	O 	X 	R 	Y 	T 	L 	E 	Z 	V 	J 	U 	N 	C 	D 	H 	K 	P 	M 	W 	B 	S 	F 	V 	M 	L 	T 	C 	X 	W 	F 	J 	P 	N 	K 	Z 	S 	Y 	G 	A 	  	O 	Q 	R 	B 	I 	E 	D 	H 	0
RSVP_central_cue_between_letter_presentation 	8 	9 	 T1 	14 	[-1, 0] 	10.0 	I 	M 	T 	X 	N 	G 	L 	Y 	Q 	D 	E 	U 	R 	B 	O 	S 	J 	P 	F 	C 	A 	V 	Z 	H 	W 	K 	B 	G 	Y 	N 	M 	W 	R 	A 	K 	I 	V 	C 	U 	  	S 	H 	X 	L 	O 	E 	T 	Z 	P 	F 	J 	D 	0
RSVP_central_cue_between_letter_presentation 	9 	9 	 T1 	22 	[1, 0] 	3.0 	S 	C 	U 	B 	G 	D 	I 	E 	N 	F 	M 	Q 	Y 	T 	R 	X 	H 	K 	P 	O 	L 	A 	Z 	V 	J 	W 	R 	Z 	V 	S 	X 	M 	Y 	G 	K 	J 	B 	Q 	E 	U 	F 	O 	C 	I 	W 	P 	A 	  	T 	L 	H 	D 	0
RSVP_central_cue_between_letter_presentation 	10 	9 	 T1 	22 	[1, 0] 	10.0 	Z 	L 	X 	F 	I 	P 	J 	T 	O 	Y 	E 	H 	R 	A 	D 	K 	M 	B 	S 	U 	N 	W 	G 	C 	V 	Q 	A 	J 	P 	Z 	T 	X 	O 	B 	F 	E 	W 	D 	M 	N 	Y 	U 	C 	H 	G 	R 	V 	  	Q 	S 	I 	K 	0
RSVP_central_cue_between_letter_presentation 	11 	9 	 T1 	18 	[-1, 0] 	10.0 	X 	A 	U 	K 	E 	C 	I 	F 	M 	O 	V 	Z 	N 	P 	H 	D 	T 	S 	J 	G 	R 	L 	W 	Q 	B 	Y 	H 	W 	I 	D 	J 	A 	B 	G 	T 	F 	E 	Q 	S 	R 	X 	Z 	C 	  	K 	Y 	P 	M 	V 	U 	L 	N 	0
RSVP_central_cue_between_letter_presentation 	12 	9 	 T1 	6 	[1, 0] 	3.0 	N 	C 	U 	M 	L 	K 	Q 	W 	S 	A 	R 	Z 	G 	Y 	D 	H 	X 	I 	F 	T 	J 	P 	O 	V 	E 	B 	H 	A 	O 	W 	P 	  	U 	Q 	Y 	F 	E 	S 	R 	D 	V 	C 	B 	J 	G 	X 	N 	M 	L 	Z 	T 	K 	0
RSVP_central_cue_between_letter_presentation 	13 	9 	 T1 	6 	[1, 0] 	3.0 	F 	J 	I 	Q 	O 	X 	K 	B 	A 	D 	S 	U 	N 	T 	Z 	H 	Y 	V 	R 	C 	L 	G 	W 	P 	M 	E 	C 	R 	B 	P 	J 	  	N 	Z 	U 	M 	F 	W 	A 	H 	G 	D 	O 	T 	I 	E 	K 	X 	V 	L 	Y 	S 	0
RSVP_central_cue_between_letter_presentation 	14 	9 	 T1 	10 	[-1, 0] 	3.0 	M 	X 	E 	I 	C 	D 	Y 	G 	R 	Z 	F 	T 	U 	W 	S 	B 	N 	V 	H 	A 	K 	L 	J 	Q 	P 	O 	K 	Y 	T 	X 	N 	B 	V 	O 	E 	  	R 	J 	C 	S 	Q 	G 	L 	Z 	I 	W 	A 	F 	M 	H 	U 	D 	0
RSVP_central_cue_between_letter_presentation 	15 	9 	 T1 	14 	[1, 0] 	10.0 	Z 	L 	N 	H 	M 	S 	I 	D 	V 	B 	O 	A 	X 	K 	U 	T 	R 	F 	Y 	E 	Q 	P 	G 	J 	C 	W 	T 	H 	X 	U 	E 	L 	J 	O 	K 	C 	Y 	B 	P 	  	S 	Q 	G 	D 	W 	A 	F 	I 	N 	M 	R 	Z 	2
RSVP_central_cue_between_letter_presentation 	16 	9 	 T1 	22 	[1, 0] 	10.0 	J 	V 	H 	E 	G 	D 	O 	K 	U 	X 	C 	M 	R 	P 	S 	N 	Z 	A 	T 	Q 	W 	F 	B 	Y 	I 	L 	Y 	Z 	Q 	E 	C 	W 	L 	D 	T 	I 	V 	J 	P 	S 	M 	N 	U 	H 	F 	K 	X 	  	B 	R 	A 	G 	0
