experimentPhase,trialnum,subject,task,answerPos0,ltrSpatialPos1,ltrEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_central_cue_between_letter_presentation ,0 ,8 , T1 ,10 ,"[1, 0] ",10.0 ,A ,X ,G ,P ,R ,Z ,W ,C ,D ,U ,H ,I ,K ,L ,T ,J ,O ,F ,V ,N ,Y ,Q ,B ,E ,M ,S ,X ,P ,D ,Y ,W ,H ,T ,N ,C ,  ,Q ,M ,U ,L ,F ,V ,B ,R ,E ,K ,S ,I ,A ,J ,Z ,G ,0
RSVP_central_cue_between_letter_presentation ,1 ,8 , T1 ,6 ,"[1, 0] ",10.0 ,A ,D ,E ,S ,W ,U ,N ,M ,L ,Z ,B ,R ,Q ,Y ,H ,X ,V ,K ,C ,O ,F ,P ,J ,G ,T ,I ,P ,U ,J ,O ,F ,  ,N ,G ,I ,L ,D ,Q ,E ,Y ,T ,B ,C ,V ,W ,Z ,S ,R ,H ,A ,M ,X ,0
RSVP_central_cue_between_letter_presentation ,2 ,8 , T1 ,10 ,"[1, 0] ",10.0 ,G ,Q ,R ,K ,O ,A ,Z ,P ,L ,X ,T ,H ,F ,S ,N ,M ,D ,V ,W ,U ,E ,I ,Y ,J ,C ,B ,D ,K ,O ,G ,W ,Y ,L ,I ,T ,  ,R ,Z ,X ,Q ,U ,F ,S ,M ,V ,B ,J ,P ,A ,N ,C ,E ,0
RSVP_central_cue_between_letter_presentation ,3 ,8 , T1 ,18 ,"[1, 0] ",3.0 ,Y ,P ,K ,B ,T ,X ,S ,V ,C ,N ,H ,M ,Z ,L ,A ,R ,I ,U ,G ,O ,J ,W ,E ,F ,Q ,D ,X ,Q ,T ,V ,H ,N ,O ,R ,P ,Y ,K ,G ,U ,M ,J ,B ,S ,  ,L ,C ,Z ,A ,I ,D ,F ,W ,0
RSVP_central_cue_between_letter_presentation ,4 ,8 , T1 ,18 ,"[1, 0] ",3.0 ,T ,D ,B ,V ,R ,N ,P ,Y ,M ,Z ,K ,J ,L ,C ,U ,E ,A ,W ,F ,X ,O ,G ,H ,I ,Q ,S ,J ,F ,E ,H ,Y ,Z ,P ,D ,V ,M ,O ,T ,U ,R ,Q ,L ,B ,  ,S ,N ,C ,A ,X ,W ,I ,G ,0
RSVP_central_cue_between_letter_presentation ,5 ,8 , T1 ,22 ,"[1, 0] ",3.0 ,B ,F ,L ,S ,Y ,D ,Z ,N ,R ,E ,W ,C ,Q ,H ,G ,U ,O ,M ,A ,T ,V ,J ,K ,I ,X ,P ,S ,B ,M ,E ,A ,C ,L ,W ,X ,N ,V ,U ,Y ,O ,H ,F ,Z ,I ,Q ,K ,J ,  ,G ,R ,T ,P ,0
RSVP_central_cue_between_letter_presentation ,6 ,8 , T1 ,18 ,"[-1, 0] ",3.0 ,G ,U ,P ,F ,I ,J ,B ,O ,W ,E ,C ,Q ,V ,R ,Y ,D ,K ,S ,X ,N ,L ,T ,A ,M ,H ,Z ,N ,H ,G ,V ,E ,M ,O ,J ,I ,W ,C ,L ,D ,P ,R ,S ,Q ,  ,U ,B ,X ,Y ,K ,Z ,F ,T ,0
RSVP_central_cue_between_letter_presentation ,7 ,8 , T1 ,10 ,"[1, 0] ",10.0 ,O ,J ,D ,R ,U ,N ,Z ,W ,K ,A ,G ,S ,M ,I ,E ,X ,Y ,T ,V ,P ,B ,L ,Q ,F ,H ,C ,Q ,I ,G ,J ,E ,L ,W ,Y ,V ,  ,C ,O ,N ,M ,B ,P ,Z ,H ,A ,T ,R ,U ,F ,X ,K ,D ,0
RSVP_central_cue_between_letter_presentation ,8 ,8 , T1 ,22 ,"[-1, 0] ",3.0 ,X ,J ,U ,O ,M ,W ,D ,S ,G ,N ,Q ,E ,A ,B ,P ,R ,Y ,H ,V ,T ,I ,F ,K ,C ,Z ,L ,X ,H ,M ,Z ,Y ,N ,I ,O ,A ,E ,W ,T ,Q ,C ,D ,V ,R ,G ,L ,P ,K ,  ,J ,B ,F ,S ,0
RSVP_central_cue_between_letter_presentation ,9 ,8 , T1 ,10 ,"[1, 0] ",3.0 ,C ,X ,S ,A ,M ,U ,P ,Y ,F ,V ,L ,Q ,O ,E ,T ,I ,N ,H ,W ,B ,Z ,D ,K ,J ,R ,G ,P ,S ,N ,D ,Z ,L ,I ,R ,Q ,  ,Y ,C ,G ,A ,B ,U ,W ,M ,V ,H ,F ,O ,E ,X ,T ,K ,0
