experimentPhase	trialnum	subject	task	answerPos0	ltrSpatialPos1	ltrEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_central_cue_between_letter_presentation 	0 	11 	 T1 	18 	[1, 0] 	3.0 	R 	F 	S 	H 	W 	V 	G 	Z 	E 	Y 	A 	L 	C 	B 	D 	U 	O 	I 	N 	X 	M 	P 	T 	J 	Q 	K 	I 	L 	A 	M 	B 	G 	F 	U 	E 	Q 	H 	N 	J 	T 	V 	Z 	Y 	  	R 	O 	C 	S 	K 	D 	W 	X 	0
RSVP_central_cue_between_letter_presentation 	1 	11 	 T1 	6 	[-1, 0] 	10.0 	K 	N 	G 	B 	M 	H 	O 	V 	W 	Z 	J 	L 	R 	S 	E 	U 	A 	Q 	Y 	I 	F 	X 	C 	P 	D 	T 	P 	I 	M 	H 	C 	  	J 	X 	Q 	Y 	U 	Z 	W 	A 	B 	L 	K 	G 	S 	N 	D 	T 	F 	O 	V 	E 	0
RSVP_central_cue_between_letter_presentation 	2 	11 	 T1 	22 	[1, 0] 	3.0 	L 	B 	I 	X 	N 	O 	F 	Z 	T 	M 	G 	U 	A 	J 	K 	Q 	R 	Y 	H 	D 	V 	S 	W 	C 	E 	P 	P 	A 	T 	C 	R 	F 	D 	M 	S 	E 	Z 	Q 	B 	G 	U 	Y 	J 	K 	V 	N 	L 	  	H 	W 	I 	O 	0
RSVP_central_cue_between_letter_presentation 	3 	11 	 T1 	10 	[1, 0] 	10.0 	I 	P 	X 	A 	N 	Q 	E 	W 	V 	Y 	T 	H 	K 	C 	Z 	O 	M 	F 	B 	G 	L 	S 	U 	D 	J 	R 	G 	P 	F 	H 	A 	O 	V 	U 	T 	  	B 	N 	Y 	E 	Z 	I 	C 	S 	Q 	J 	D 	X 	L 	R 	K 	W 	0
RSVP_central_cue_between_letter_presentation 	4 	11 	 T1 	6 	[-1, 0] 	3.0 	S 	R 	Q 	G 	P 	C 	U 	K 	Y 	I 	J 	N 	L 	M 	T 	B 	A 	F 	H 	X 	O 	Z 	D 	V 	E 	W 	D 	U 	O 	N 	F 	  	E 	C 	S 	L 	W 	H 	J 	Q 	P 	G 	Z 	V 	M 	A 	Y 	K 	R 	I 	X 	T 	0
RSVP_central_cue_between_letter_presentation 	5 	11 	 T1 	18 	[-1, 0] 	10.0 	F 	R 	Y 	S 	J 	E 	V 	B 	U 	Z 	W 	H 	T 	G 	M 	Q 	X 	C 	P 	O 	N 	I 	D 	L 	K 	A 	P 	Y 	M 	G 	J 	B 	Q 	U 	V 	Z 	K 	N 	I 	S 	F 	L 	H 	  	W 	E 	X 	D 	R 	A 	O 	C 	0
RSVP_central_cue_between_letter_presentation 	6 	11 	 T1 	6 	[-1, 0] 	3.0 	T 	S 	Y 	W 	C 	H 	M 	N 	D 	Z 	R 	Q 	V 	L 	A 	J 	B 	E 	I 	P 	G 	X 	F 	K 	O 	U 	J 	M 	Q 	T 	R 	  	F 	V 	E 	G 	D 	A 	Z 	I 	O 	H 	W 	L 	P 	K 	S 	C 	B 	N 	X 	Y 	0
RSVP_central_cue_between_letter_presentation 	7 	11 	 T1 	22 	[-1, 0] 	3.0 	V 	D 	E 	M 	S 	Q 	W 	P 	I 	Z 	H 	R 	A 	T 	X 	K 	L 	U 	N 	B 	Y 	J 	O 	F 	C 	G 	O 	N 	R 	P 	U 	Y 	W 	H 	F 	K 	V 	X 	L 	J 	M 	T 	G 	I 	S 	B 	D 	  	E 	Q 	C 	A 	0
RSVP_central_cue_between_letter_presentation 	8 	11 	 T1 	18 	[-1, 0] 	10.0 	F 	P 	C 	D 	V 	K 	E 	A 	J 	Q 	H 	O 	L 	U 	Y 	N 	M 	G 	T 	W 	I 	X 	R 	S 	Z 	B 	X 	F 	U 	R 	Z 	W 	H 	M 	A 	K 	N 	G 	V 	Q 	C 	J 	P 	  	D 	I 	E 	S 	T 	B 	Y 	L 	0
RSVP_central_cue_between_letter_presentation 	9 	11 	 T1 	18 	[-1, 0] 	10.0 	N 	A 	S 	Z 	M 	X 	J 	C 	Q 	Y 	V 	D 	E 	O 	R 	G 	P 	B 	H 	I 	L 	F 	U 	W 	T 	K 	U 	R 	L 	Q 	M 	F 	Z 	V 	X 	Y 	P 	S 	B 	G 	J 	O 	I 	  	C 	K 	T 	E 	N 	A 	W 	D 	0
