experimentPhase,trialnum,subject,task,answerPos0,ltrSpatialPos1,ltrEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_central_cue_between_letter_presentation ,0 ,16 , T1 ,10 ,"[-1, 0] ",10.0 ,M ,N ,R ,L ,Y ,F ,P ,S ,X ,J ,G ,I ,A ,H ,W ,B ,C ,Z ,K ,O ,E ,D ,Q ,U ,T ,V ,M ,V ,H ,N ,Y ,K ,Z ,B ,S ,  ,T ,L ,G ,R ,A ,I ,W ,X ,U ,C ,D ,O ,P ,Q ,F ,E ,0
RSVP_central_cue_between_letter_presentation ,1 ,16 , T1 ,22 ,"[1, 0] ",3.0 ,R ,X ,D ,L ,Q ,A ,T ,C ,J ,G ,W ,P ,F ,E ,Z ,Y ,O ,U ,S ,V ,M ,I ,B ,H ,N ,K ,M ,S ,W ,P ,I ,X ,A ,K ,C ,T ,D ,L ,N ,F ,V ,U ,H ,Y ,E ,Q ,J ,  ,O ,R ,Z ,G ,0
RSVP_central_cue_between_letter_presentation ,2 ,16 , T1 ,6 ,"[-1, 0] ",10.0 ,O ,B ,T ,E ,Y ,N ,M ,R ,X ,L ,U ,S ,D ,P ,Z ,W ,A ,C ,V ,H ,F ,J ,Q ,I ,G ,K ,W ,G ,F ,K ,O ,  ,B ,P ,J ,X ,C ,T ,I ,Z ,D ,E ,M ,L ,S ,Q ,R ,N ,H ,U ,A ,Y ,0
RSVP_central_cue_between_letter_presentation ,3 ,16 , T1 ,6 ,"[-1, 0] ",10.0 ,E ,I ,J ,V ,X ,G ,M ,O ,W ,A ,S ,F ,L ,N ,T ,R ,D ,C ,Q ,Y ,K ,H ,U ,Z ,P ,B ,I ,M ,U ,O ,B ,  ,C ,R ,K ,H ,E ,Q ,J ,X ,T ,D ,G ,F ,Y ,A ,N ,Z ,V ,S ,W ,P ,0
RSVP_central_cue_between_letter_presentation ,4 ,16 , T1 ,10 ,"[1, 0] ",3.0 ,B ,A ,P ,H ,I ,M ,Y ,N ,V ,D ,G ,Z ,J ,S ,F ,K ,U ,L ,T ,C ,Q ,W ,O ,X ,E ,R ,K ,D ,T ,V ,X ,Q ,S ,J ,H ,  ,Y ,N ,G ,F ,A ,L ,R ,E ,O ,W ,I ,Z ,P ,C ,U ,M ,0
RSVP_central_cue_between_letter_presentation ,5 ,16 , T1 ,10 ,"[-1, 0] ",10.0 ,N ,Y ,U ,G ,F ,W ,C ,B ,S ,K ,Z ,O ,H ,V ,J ,A ,I ,M ,E ,Q ,X ,L ,D ,P ,T ,R ,L ,V ,M ,T ,J ,Y ,D ,X ,P ,  ,U ,N ,H ,O ,S ,K ,A ,W ,C ,Q ,F ,E ,B ,I ,R ,G ,0
RSVP_central_cue_between_letter_presentation ,6 ,16 , T1 ,18 ,"[1, 0] ",10.0 ,X ,E ,F ,B ,L ,I ,M ,G ,N ,Q ,W ,S ,K ,A ,R ,V ,D ,J ,U ,O ,Z ,C ,T ,P ,H ,Y ,L ,F ,S ,A ,G ,Z ,I ,U ,E ,K ,R ,N ,D ,Y ,O ,J ,H ,  ,B ,C ,T ,V ,X ,P ,W ,M ,0
RSVP_central_cue_between_letter_presentation ,7 ,16 , T1 ,10 ,"[1, 0] ",3.0 ,O ,H ,E ,Y ,I ,M ,Q ,N ,D ,Z ,S ,V ,G ,B ,J ,A ,L ,U ,T ,X ,W ,K ,F ,C ,R ,P ,U ,O ,I ,P ,X ,D ,C ,V ,N ,  ,E ,R ,H ,A ,W ,S ,Q ,M ,J ,F ,G ,L ,Y ,K ,Z ,B ,0
RSVP_central_cue_between_letter_presentation ,8 ,16 , T1 ,14 ,"[-1, 0] ",10.0 ,R ,A ,U ,T ,B ,O ,L ,P ,J ,E ,V ,N ,X ,G ,Y ,Z ,K ,S ,I ,Q ,F ,C ,W ,H ,D ,M ,L ,I ,J ,V ,T ,F ,O ,P ,D ,S ,R ,X ,Z ,  ,C ,G ,A ,Q ,N ,H ,B ,E ,K ,W ,M ,Y ,0
RSVP_central_cue_between_letter_presentation ,9 ,16 , T1 ,14 ,"[-1, 0] ",3.0 ,P ,V ,S ,Y ,A ,I ,K ,X ,R ,B ,Z ,Q ,D ,G ,O ,F ,W ,C ,U ,J ,E ,N ,H ,L ,T ,M ,J ,U ,G ,Z ,O ,A ,C ,L ,W ,I ,V ,Q ,B ,  ,R ,M ,E ,S ,P ,X ,F ,K ,D ,T ,H ,N ,0
RSVP_central_cue_between_letter_presentation ,10 ,16 , T1 ,18 ,"[1, 0] ",3.0 ,O ,N ,V ,P ,C ,A ,M ,Y ,S ,H ,L ,X ,T ,E ,B ,G ,D ,U ,J ,Z ,W ,Q ,I ,R ,K ,F ,B ,R ,D ,Q ,Z ,P ,A ,V ,X ,I ,M ,N ,H ,L ,C ,S ,W ,  ,E ,Y ,T ,J ,K ,U ,F ,G ,0
