experimentPhase	trialnum	subject	task	answerPos0	ltrSpatialPos1	ltrEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_central_cue_between_letter_presentation 	0 	15 	 T1 	14 	[-1, 0] 	3.0 	I 	M 	O 	V 	K 	N 	X 	Y 	S 	B 	A 	W 	D 	R 	G 	P 	E 	Q 	C 	Z 	J 	T 	F 	U 	L 	H 	B 	A 	J 	O 	T 	E 	V 	H 	Y 	W 	X 	F 	I 	  	G 	K 	Z 	L 	P 	M 	Q 	R 	U 	C 	S 	N 	0
RSVP_central_cue_between_letter_presentation 	1 	15 	 T1 	22 	[1, 0] 	3.0 	D 	G 	Z 	W 	I 	A 	B 	V 	O 	N 	J 	Q 	R 	P 	F 	H 	U 	L 	S 	M 	T 	X 	Y 	C 	K 	E 	Y 	K 	L 	W 	M 	R 	Z 	C 	H 	E 	F 	V 	J 	Q 	G 	I 	N 	T 	D 	S 	O 	  	P 	U 	B 	A 	0
RSVP_central_cue_between_letter_presentation 	2 	15 	 T1 	22 	[1, 0] 	3.0 	V 	X 	N 	T 	P 	L 	U 	S 	B 	E 	Z 	F 	G 	J 	M 	H 	Q 	C 	R 	D 	I 	A 	O 	W 	K 	Y 	E 	S 	Q 	D 	J 	C 	R 	P 	Z 	I 	L 	B 	N 	Y 	F 	T 	G 	U 	K 	H 	W 	  	O 	X 	A 	V 	0
RSVP_central_cue_between_letter_presentation 	3 	15 	 T1 	22 	[-1, 0] 	3.0 	F 	Q 	J 	S 	L 	T 	M 	X 	E 	N 	D 	G 	I 	U 	V 	A 	B 	P 	Z 	C 	W 	R 	Y 	H 	O 	K 	E 	D 	B 	N 	S 	R 	O 	G 	T 	J 	Z 	M 	W 	Q 	K 	L 	X 	I 	A 	C 	Y 	  	H 	F 	P 	U 	0
RSVP_central_cue_between_letter_presentation 	4 	15 	 T1 	10 	[1, 0] 	10.0 	M 	S 	I 	P 	Z 	X 	Q 	C 	L 	D 	O 	T 	W 	U 	E 	F 	G 	B 	H 	R 	A 	V 	K 	N 	Y 	J 	Y 	H 	W 	S 	I 	M 	G 	B 	V 	  	E 	C 	A 	L 	U 	P 	O 	Z 	R 	D 	J 	N 	T 	K 	Q 	X 	0
RSVP_central_cue_between_letter_presentation 	5 	15 	 T1 	6 	[1, 0] 	3.0 	A 	L 	X 	N 	D 	S 	R 	I 	Q 	J 	G 	H 	Y 	M 	K 	P 	W 	C 	F 	O 	V 	B 	U 	Z 	E 	T 	Y 	D 	X 	S 	H 	  	I 	W 	U 	P 	L 	Q 	J 	K 	N 	M 	G 	R 	T 	V 	C 	O 	A 	E 	Z 	B 	0
RSVP_central_cue_between_letter_presentation 	6 	15 	 T1 	22 	[1, 0] 	3.0 	N 	O 	M 	W 	H 	D 	S 	A 	F 	K 	J 	V 	I 	Y 	P 	B 	T 	C 	G 	X 	R 	E 	Z 	L 	U 	Q 	R 	I 	S 	F 	L 	B 	P 	N 	U 	H 	A 	C 	T 	Q 	Y 	W 	E 	X 	K 	Z 	M 	  	G 	J 	O 	D 	0
RSVP_central_cue_between_letter_presentation 	7 	15 	 T1 	14 	[-1, 0] 	10.0 	D 	U 	M 	V 	P 	Y 	G 	N 	J 	X 	K 	H 	Z 	F 	Q 	E 	T 	O 	I 	C 	A 	W 	L 	B 	R 	S 	E 	Q 	X 	D 	B 	S 	V 	F 	L 	G 	T 	P 	C 	  	N 	A 	M 	O 	Z 	R 	Y 	W 	K 	I 	H 	U 	0
RSVP_central_cue_between_letter_presentation 	8 	15 	 T1 	18 	[-1, 0] 	10.0 	T 	S 	G 	Y 	F 	W 	K 	P 	Q 	V 	U 	O 	M 	R 	D 	L 	H 	E 	B 	J 	I 	C 	Z 	A 	N 	X 	J 	Y 	E 	L 	A 	U 	D 	W 	O 	I 	C 	K 	B 	V 	P 	N 	M 	  	Q 	X 	G 	F 	H 	T 	S 	Z 	0
RSVP_central_cue_between_letter_presentation 	9 	15 	 T1 	22 	[-1, 0] 	3.0 	A 	G 	R 	Z 	O 	Y 	S 	E 	X 	D 	C 	B 	K 	P 	F 	I 	W 	N 	Q 	J 	U 	L 	T 	H 	V 	M 	N 	B 	G 	A 	F 	J 	K 	L 	T 	H 	V 	D 	U 	I 	E 	W 	C 	Z 	X 	R 	Q 	  	O 	P 	M 	Y 	0
