experimentPhase	trialnum	subject	task	answerPos0	ltrSpatialPos1	ltrEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_central_cue_between_letter_presentation 	0 	4 	 T1 	18 	[-1, 0] 	10.0 	B 	E 	W 	T 	Z 	A 	N 	D 	M 	Y 	I 	F 	U 	R 	P 	J 	G 	O 	S 	K 	V 	X 	C 	H 	L 	Q 	I 	R 	V 	K 	S 	N 	G 	T 	F 	P 	L 	H 	J 	X 	W 	E 	D 	  	A 	O 	Q 	M 	Z 	C 	U 	Y 	0
RSVP_central_cue_between_letter_presentation 	1 	4 	 T1 	6 	[1, 0] 	3.0 	Z 	B 	A 	E 	C 	F 	Q 	O 	T 	W 	J 	X 	G 	U 	I 	D 	K 	M 	V 	Y 	P 	S 	H 	L 	R 	N 	P 	S 	J 	Y 	V 	  	I 	O 	C 	W 	U 	B 	R 	T 	F 	A 	H 	E 	G 	N 	Q 	X 	Z 	L 	D 	K 	0
RSVP_central_cue_between_letter_presentation 	2 	4 	 T1 	14 	[-1, 0] 	10.0 	X 	N 	I 	M 	E 	K 	C 	Y 	J 	R 	F 	U 	P 	G 	B 	D 	V 	T 	W 	A 	H 	Z 	Q 	S 	L 	O 	E 	Z 	D 	B 	U 	S 	H 	L 	G 	W 	N 	T 	C 	  	A 	M 	P 	J 	Q 	X 	F 	V 	I 	O 	K 	R 	0
RSVP_central_cue_between_letter_presentation 	3 	4 	 T1 	10 	[1, 0] 	10.0 	E 	Y 	X 	N 	I 	P 	J 	K 	Z 	T 	V 	R 	H 	U 	F 	D 	O 	G 	B 	Q 	M 	A 	S 	C 	W 	L 	B 	W 	A 	Z 	S 	U 	I 	F 	E 	  	G 	H 	O 	V 	C 	M 	T 	X 	R 	Y 	P 	J 	Q 	N 	K 	D 	0
RSVP_central_cue_between_letter_presentation 	4 	4 	 T1 	22 	[1, 0] 	3.0 	L 	C 	R 	X 	J 	O 	Q 	F 	N 	K 	P 	G 	B 	M 	D 	S 	W 	Z 	U 	Y 	T 	V 	H 	E 	I 	A 	T 	Z 	C 	K 	W 	E 	Y 	A 	Q 	L 	U 	I 	D 	O 	J 	S 	N 	M 	B 	P 	V 	  	R 	X 	H 	G 	0
RSVP_central_cue_between_letter_presentation 	5 	4 	 T1 	18 	[-1, 0] 	3.0 	V 	N 	Q 	Y 	X 	W 	I 	C 	R 	E 	G 	M 	P 	T 	D 	Z 	A 	O 	H 	S 	K 	L 	U 	J 	B 	F 	Y 	P 	Z 	U 	Q 	K 	X 	M 	I 	E 	H 	S 	N 	J 	C 	O 	D 	  	L 	R 	B 	F 	W 	A 	V 	G 	0
RSVP_central_cue_between_letter_presentation 	6 	4 	 T1 	18 	[1, 0] 	10.0 	F 	K 	Q 	P 	G 	A 	C 	B 	X 	Z 	V 	T 	U 	M 	L 	O 	D 	S 	E 	I 	Y 	W 	J 	H 	N 	R 	G 	U 	Y 	L 	M 	T 	O 	J 	A 	B 	X 	Q 	I 	E 	K 	W 	H 	  	V 	D 	P 	N 	R 	Z 	S 	F 	0
RSVP_central_cue_between_letter_presentation 	7 	4 	 T1 	18 	[1, 0] 	3.0 	K 	C 	D 	G 	Q 	A 	N 	Y 	O 	P 	W 	S 	I 	H 	U 	B 	X 	J 	T 	L 	E 	M 	V 	Z 	R 	F 	F 	M 	J 	D 	K 	Z 	O 	C 	V 	H 	B 	Q 	R 	P 	L 	N 	T 	  	I 	A 	U 	W 	E 	G 	X 	Y 	1
RSVP_central_cue_between_letter_presentation 	8 	4 	 T1 	22 	[-1, 0] 	3.0 	Q 	L 	E 	N 	F 	P 	D 	J 	T 	C 	A 	G 	I 	Z 	Y 	H 	U 	V 	X 	W 	O 	S 	R 	K 	B 	M 	Y 	Q 	C 	I 	J 	S 	D 	K 	T 	R 	N 	A 	U 	L 	P 	V 	M 	W 	E 	O 	Z 	  	X 	H 	F 	G 	0
RSVP_central_cue_between_letter_presentation 	9 	4 	 T1 	18 	[-1, 0] 	10.0 	B 	F 	O 	A 	U 	Y 	E 	T 	V 	W 	I 	J 	K 	R 	N 	C 	G 	Q 	D 	X 	P 	L 	M 	H 	S 	Z 	B 	T 	Y 	H 	J 	P 	M 	F 	N 	E 	I 	X 	Z 	A 	Q 	G 	R 	  	C 	V 	L 	S 	O 	K 	W 	U 	0
