experimentPhase	trialnum	subject	task	answerPos0	ltrSpatialPos1	ltrEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_central_cue_between_letter_presentation 	0 	5 	 T1 	18 	[-1, 0] 	3.0 	V 	T 	N 	O 	F 	Q 	E 	C 	Y 	D 	W 	B 	S 	G 	K 	R 	Z 	J 	A 	L 	M 	H 	P 	X 	U 	I 	I 	R 	Z 	A 	H 	V 	P 	Y 	F 	X 	W 	K 	N 	J 	E 	B 	T 	  	M 	U 	L 	O 	D 	Q 	C 	S 	0
RSVP_central_cue_between_letter_presentation 	1 	5 	 T1 	10 	[1, 0] 	3.0 	Z 	Q 	U 	D 	V 	P 	M 	O 	N 	S 	J 	H 	F 	I 	K 	C 	G 	X 	W 	B 	R 	E 	Y 	T 	A 	L 	E 	Y 	D 	S 	N 	V 	A 	U 	X 	  	J 	W 	T 	F 	K 	L 	G 	R 	M 	I 	C 	Z 	Q 	H 	O 	B 	0
RSVP_central_cue_between_letter_presentation 	2 	5 	 T1 	14 	[1, 0] 	3.0 	B 	R 	E 	M 	T 	A 	D 	P 	O 	F 	H 	G 	J 	X 	I 	K 	Y 	V 	C 	W 	L 	N 	Q 	U 	Z 	S 	M 	Z 	X 	Y 	W 	O 	J 	H 	I 	U 	D 	B 	E 	  	V 	C 	G 	S 	R 	K 	N 	P 	T 	A 	F 	L 	0
RSVP_central_cue_between_letter_presentation 	3 	5 	 T1 	22 	[-1, 0] 	3.0 	C 	R 	A 	N 	V 	B 	U 	M 	Q 	J 	W 	K 	Y 	S 	P 	O 	E 	D 	H 	X 	L 	F 	T 	G 	I 	Z 	N 	G 	L 	E 	D 	I 	Q 	B 	M 	F 	V 	J 	C 	A 	R 	Y 	K 	H 	U 	T 	O 	  	X 	S 	P 	W 	0
RSVP_central_cue_between_letter_presentation 	4 	5 	 T1 	14 	[-1, 0] 	3.0 	T 	A 	F 	X 	R 	B 	L 	Q 	P 	U 	M 	V 	G 	D 	J 	C 	K 	Z 	W 	E 	I 	S 	H 	O 	Y 	N 	F 	R 	C 	Q 	T 	V 	G 	W 	Y 	L 	A 	P 	N 	  	B 	U 	X 	H 	D 	E 	S 	K 	M 	O 	I 	Z 	0
RSVP_central_cue_between_letter_presentation 	5 	5 	 T1 	18 	[1, 0] 	3.0 	A 	Y 	G 	O 	V 	T 	S 	B 	P 	C 	J 	H 	F 	U 	Q 	D 	L 	X 	E 	R 	I 	W 	N 	Z 	K 	M 	G 	T 	J 	N 	P 	B 	C 	O 	I 	L 	U 	X 	R 	D 	S 	M 	A 	  	E 	Q 	Z 	Y 	V 	W 	H 	F 	0
RSVP_central_cue_between_letter_presentation 	6 	5 	 T1 	14 	[1, 0] 	10.0 	S 	A 	F 	G 	B 	M 	Q 	J 	R 	W 	T 	P 	O 	K 	Z 	X 	C 	V 	E 	U 	Y 	D 	I 	N 	H 	L 	J 	C 	O 	D 	Y 	P 	E 	S 	L 	R 	A 	X 	K 	  	T 	G 	W 	M 	F 	Q 	I 	Z 	V 	B 	U 	H 	0
RSVP_central_cue_between_letter_presentation 	7 	5 	 T1 	14 	[1, 0] 	10.0 	H 	G 	L 	N 	F 	U 	Q 	O 	C 	Z 	S 	A 	I 	E 	P 	J 	T 	R 	X 	Y 	V 	K 	D 	M 	B 	W 	C 	J 	P 	A 	K 	I 	U 	W 	F 	V 	X 	R 	Q 	  	O 	G 	Z 	B 	Y 	N 	S 	H 	L 	D 	E 	T 	0
RSVP_central_cue_between_letter_presentation 	8 	5 	 T1 	18 	[-1, 0] 	10.0 	J 	O 	B 	N 	L 	U 	Y 	D 	K 	V 	E 	R 	F 	M 	C 	A 	I 	Q 	S 	P 	W 	G 	T 	H 	Z 	X 	U 	D 	A 	X 	R 	P 	F 	T 	M 	C 	K 	G 	N 	L 	O 	Y 	Z 	  	V 	W 	S 	E 	I 	H 	J 	B 	0
RSVP_central_cue_between_letter_presentation 	9 	5 	 T1 	6 	[1, 0] 	3.0 	A 	S 	I 	T 	P 	H 	M 	U 	V 	X 	K 	R 	B 	N 	G 	E 	O 	Z 	Y 	J 	F 	D 	Q 	C 	L 	W 	U 	B 	D 	F 	G 	  	A 	X 	J 	C 	L 	N 	S 	K 	R 	M 	T 	V 	Y 	O 	I 	H 	W 	E 	P 	Z 	0
