experimentPhase,trialnum,subject,task,answerPos0,ltrSpatialPos1,ltrEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_central_cue_between_letter_presentation ,0 ,12 , T1 ,6 ,"[1, 0] ",10.0 ,L ,M ,E ,N ,F ,C ,T ,H ,A ,Q ,D ,P ,J ,B ,Y ,I ,R ,S ,G ,U ,W ,Z ,X ,O ,V ,K ,N ,Y ,I ,B ,Q ,  ,K ,R ,V ,M ,X ,O ,A ,J ,U ,T ,F ,S ,C ,Z ,G ,L ,H ,E ,P ,W ,0
RSVP_central_cue_between_letter_presentation ,1 ,12 , T1 ,18 ,"[-1, 0] ",10.0 ,J ,H ,W ,F ,B ,M ,I ,D ,T ,V ,X ,C ,S ,A ,Q ,P ,E ,Y ,G ,N ,Z ,O ,K ,R ,L ,U ,W ,K ,N ,D ,C ,Z ,M ,J ,E ,B ,G ,O ,T ,Q ,L ,R ,V ,  ,A ,H ,U ,P ,I ,F ,S ,X ,0
RSVP_central_cue_between_letter_presentation ,2 ,12 , T1 ,14 ,"[1, 0] ",10.0 ,A ,F ,I ,R ,N ,C ,X ,J ,P ,H ,Q ,S ,L ,Y ,M ,T ,D ,B ,V ,Z ,O ,U ,E ,G ,W ,K ,O ,Q ,C ,E ,W ,J ,R ,N ,Y ,T ,Z ,B ,V ,  ,G ,S ,K ,A ,H ,L ,I ,D ,F ,X ,U ,P ,0
RSVP_central_cue_between_letter_presentation ,3 ,12 , T1 ,18 ,"[-1, 0] ",10.0 ,D ,T ,R ,V ,W ,S ,I ,F ,J ,L ,Y ,N ,K ,X ,M ,C ,A ,O ,U ,Z ,P ,B ,H ,Q ,E ,G ,T ,C ,R ,S ,P ,B ,J ,G ,D ,Q ,N ,H ,F ,V ,Z ,A ,O ,  ,M ,I ,L ,X ,U ,Y ,W ,K ,0
RSVP_central_cue_between_letter_presentation ,4 ,12 , T1 ,18 ,"[-1, 0] ",3.0 ,H ,B ,M ,G ,E ,V ,D ,P ,I ,X ,K ,S ,F ,J ,O ,Z ,C ,R ,A ,W ,Q ,T ,Y ,L ,N ,U ,P ,A ,H ,W ,D ,S ,L ,Z ,I ,O ,K ,B ,J ,M ,X ,V ,T ,  ,F ,U ,G ,R ,Y ,N ,E ,C ,0
RSVP_central_cue_between_letter_presentation ,5 ,12 , T1 ,10 ,"[-1, 0] ",3.0 ,L ,G ,O ,B ,Z ,M ,P ,Y ,E ,D ,K ,V ,S ,A ,R ,U ,N ,C ,T ,Q ,H ,X ,J ,I ,F ,W ,J ,I ,V ,D ,Q ,N ,O ,L ,P ,  ,F ,M ,R ,K ,S ,Y ,E ,C ,Z ,U ,T ,H ,W ,G ,A ,B ,0
RSVP_central_cue_between_letter_presentation ,6 ,12 , T1 ,22 ,"[1, 0] ",10.0 ,O ,S ,H ,L ,R ,M ,U ,N ,Y ,Z ,B ,W ,P ,C ,F ,J ,Q ,G ,V ,T ,D ,X ,E ,I ,K ,A ,B ,D ,N ,F ,R ,V ,M ,J ,A ,Y ,Q ,S ,L ,X ,W ,K ,Z ,P ,U ,T ,O ,  ,C ,G ,H ,I ,0
RSVP_central_cue_between_letter_presentation ,7 ,12 , T1 ,18 ,"[1, 0] ",3.0 ,G ,D ,Z ,Y ,F ,I ,E ,X ,S ,P ,A ,T ,R ,K ,V ,W ,L ,H ,O ,C ,Q ,U ,N ,B ,J ,M ,X ,H ,M ,L ,G ,I ,A ,Z ,Q ,T ,F ,E ,Y ,N ,K ,D ,V ,  ,P ,U ,O ,C ,W ,R ,J ,B ,0
RSVP_central_cue_between_letter_presentation ,8 ,12 , T1 ,22 ,"[1, 0] ",3.0 ,J ,Z ,U ,W ,E ,V ,N ,Q ,I ,K ,G ,S ,P ,O ,L ,M ,X ,H ,T ,R ,D ,Y ,A ,F ,C ,B ,O ,E ,H ,A ,V ,T ,I ,B ,G ,M ,F ,K ,U ,W ,L ,P ,Z ,X ,D ,N ,S ,  ,Y ,J ,Q ,C ,0
RSVP_central_cue_between_letter_presentation ,9 ,12 , T1 ,14 ,"[1, 0] ",3.0 ,O ,H ,F ,R ,N ,L ,W ,B ,Z ,M ,C ,P ,U ,Y ,Q ,D ,A ,X ,G ,V ,T ,I ,E ,K ,J ,S ,M ,R ,X ,I ,K ,U ,E ,V ,D ,A ,O ,N ,H ,  ,Q ,F ,C ,G ,W ,J ,L ,P ,Y ,T ,B ,S ,0
