experimentPhase,trialnum,subject,task,answerPos0,ltrSpatialPos1,ltrEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_central_cue_between_letter_presentation ,0 ,2 , T1 ,18 ,"[-1, 0] ",10.0 ,S ,H ,I ,V ,C ,N ,J ,R ,L ,W ,U ,O ,Y ,T ,M ,X ,G ,Q ,Z ,A ,P ,D ,E ,B ,F ,K ,G ,P ,R ,L ,D ,T ,H ,C ,S ,K ,O ,Y ,J ,A ,U ,W ,X ,  ,M ,Z ,N ,I ,Q ,F ,E ,V ,0
RSVP_central_cue_between_letter_presentation ,1 ,2 , T1 ,14 ,"[-1, 0] ",10.0 ,K ,L ,X ,Y ,S ,I ,F ,V ,H ,B ,W ,M ,A ,P ,T ,U ,G ,D ,O ,R ,J ,Q ,E ,C ,Z ,N ,Z ,D ,V ,N ,K ,B ,S ,J ,A ,R ,U ,Q ,F ,  ,Y ,E ,T ,O ,W ,I ,L ,H ,P ,G ,M ,X ,0
RSVP_central_cue_between_letter_presentation ,2 ,2 , T1 ,10 ,"[1, 0] ",3.0 ,G ,X ,A ,D ,Y ,I ,W ,B ,C ,J ,R ,P ,F ,M ,V ,T ,L ,E ,O ,S ,K ,Q ,H ,Z ,N ,U ,W ,F ,Z ,B ,E ,G ,U ,C ,X ,  ,T ,Q ,L ,N ,P ,O ,Y ,A ,I ,R ,J ,D ,M ,V ,K ,H ,0
RSVP_central_cue_between_letter_presentation ,3 ,2 , T1 ,6 ,"[-1, 0] ",10.0 ,S ,T ,U ,N ,Y ,I ,Z ,X ,V ,Q ,C ,R ,A ,P ,F ,W ,O ,D ,J ,K ,M ,H ,L ,B ,E ,G ,K ,J ,U ,G ,P ,  ,L ,S ,E ,I ,O ,W ,H ,D ,M ,V ,F ,X ,Q ,T ,C ,Y ,N ,R ,B ,A ,0
RSVP_central_cue_between_letter_presentation ,4 ,2 , T1 ,6 ,"[1, 0] ",3.0 ,N ,G ,L ,C ,Q ,B ,P ,Z ,O ,M ,J ,H ,E ,T ,A ,W ,F ,S ,U ,Y ,R ,V ,X ,I ,K ,D ,K ,D ,L ,X ,R ,  ,B ,O ,M ,S ,U ,Q ,C ,N ,E ,H ,F ,G ,A ,W ,J ,Z ,P ,Y ,T ,I ,0
RSVP_central_cue_between_letter_presentation ,5 ,2 , T1 ,6 ,"[1, 0] ",3.0 ,N ,B ,X ,W ,A ,I ,S ,Q ,F ,L ,M ,O ,G ,J ,T ,H ,D ,C ,V ,Y ,R ,E ,U ,Z ,K ,P ,F ,T ,Z ,S ,C ,  ,Q ,Y ,E ,W ,U ,V ,B ,R ,X ,M ,P ,N ,H ,O ,G ,J ,L ,K ,D ,I ,0
RSVP_central_cue_between_letter_presentation ,6 ,2 , T1 ,22 ,"[1, 0] ",10.0 ,Q ,R ,H ,X ,Y ,V ,N ,E ,J ,G ,T ,W ,D ,K ,A ,S ,Z ,O ,L ,P ,C ,U ,I ,B ,M ,F ,O ,Z ,I ,C ,Y ,V ,E ,H ,X ,W ,M ,G ,A ,P ,S ,J ,R ,K ,L ,D ,F ,  ,B ,Q ,U ,N ,0
RSVP_central_cue_between_letter_presentation ,7 ,2 , T1 ,10 ,"[1, 0] ",10.0 ,U ,S ,R ,W ,H ,K ,L ,X ,J ,P ,Y ,G ,F ,O ,Z ,E ,A ,C ,V ,N ,I ,D ,Q ,T ,B ,M ,B ,N ,G ,U ,Y ,H ,E ,X ,Q ,  ,W ,O ,L ,A ,C ,J ,S ,T ,K ,P ,Z ,F ,V ,I ,R ,D ,0
RSVP_central_cue_between_letter_presentation ,8 ,2 , T1 ,10 ,"[1, 0] ",10.0 ,U ,K ,D ,Y ,X ,P ,H ,S ,C ,I ,T ,Q ,O ,J ,V ,R ,N ,F ,M ,L ,W ,E ,Z ,G ,A ,B ,O ,I ,X ,A ,R ,Q ,L ,J ,Z ,  ,N ,F ,E ,U ,S ,M ,Y ,C ,H ,T ,K ,W ,V ,G ,P ,D ,0
RSVP_central_cue_between_letter_presentation ,9 ,2 , T1 ,6 ,"[1, 0] ",10.0 ,Y ,J ,S ,E ,K ,R ,C ,P ,V ,D ,B ,I ,G ,L ,O ,Z ,N ,X ,T ,U ,F ,M ,H ,W ,A ,Q ,I ,G ,C ,H ,M ,  ,D ,W ,L ,S ,A ,Z ,U ,F ,P ,Q ,N ,V ,R ,Y ,X ,B ,K ,J ,E ,O ,0
RSVP_central_cue_between_letter_presentation ,10 ,2 , T1 ,18 ,"[1, 0] ",10.0 ,H ,O ,I ,E ,Y ,X ,W ,P ,K ,A ,F ,U ,J ,Q ,C ,M ,S ,N ,D ,R ,B ,G ,Z ,L ,T ,V ,T ,Z ,S ,V ,U ,N ,O ,K ,C ,B ,M ,H ,Q ,A ,J ,I ,X ,  ,P ,E ,Y ,L ,F ,W ,G ,R ,0
RSVP_central_cue_between_letter_presentation ,11 ,2 , T1 ,22 ,"[1, 0] ",10.0 ,A ,F ,B ,L ,Y ,H ,W ,C ,V ,U ,S ,M ,T ,Q ,X ,N ,P ,K ,Z ,R ,D ,I ,J ,O ,G ,E ,L ,O ,I ,W ,J ,G ,M ,K ,F ,V ,Q ,X ,H ,T ,A ,E ,S ,D ,Y ,R ,N ,  ,Z ,C ,B ,U ,0
