experimentPhase,trialnum,subject,task,answerPos0,ltrSpatialPos1,ltrEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_central_cue_between_letter_presentation ,0 ,10 , T1 ,18 ,"[-1, 0] ",10.0 ,A ,D ,S ,U ,R ,K ,L ,I ,P ,C ,T ,H ,W ,Z ,F ,N ,O ,E ,X ,G ,J ,Y ,Q ,V ,B ,M ,X ,W ,P ,G ,E ,I ,K ,Y ,B ,Z ,V ,A ,Q ,F ,D ,J ,O ,  ,H ,N ,U ,R ,S ,M ,L ,C ,0
RSVP_central_cue_between_letter_presentation ,1 ,10 , T1 ,18 ,"[-1, 0] ",10.0 ,N ,B ,K ,G ,A ,H ,R ,X ,S ,L ,E ,Y ,P ,V ,C ,F ,J ,D ,U ,W ,O ,I ,T ,Q ,M ,Z ,D ,P ,L ,O ,B ,U ,N ,G ,E ,M ,T ,K ,Z ,W ,V ,S ,C ,  ,Y ,H ,R ,J ,A ,I ,F ,X ,0
RSVP_central_cue_between_letter_presentation ,2 ,10 , T1 ,18 ,"[-1, 0] ",3.0 ,T ,W ,F ,I ,E ,V ,Z ,M ,L ,D ,X ,A ,R ,O ,Q ,C ,H ,J ,Y ,G ,B ,N ,P ,K ,U ,S ,G ,M ,H ,A ,N ,B ,D ,S ,F ,K ,W ,O ,I ,T ,C ,Y ,Z ,  ,X ,R ,L ,J ,P ,Q ,V ,E ,0
RSVP_central_cue_between_letter_presentation ,3 ,10 , T1 ,22 ,"[1, 0] ",10.0 ,K ,F ,T ,V ,J ,C ,U ,D ,M ,H ,Q ,E ,Z ,X ,W ,O ,I ,A ,R ,S ,N ,P ,Y ,L ,B ,G ,G ,E ,W ,O ,K ,V ,C ,Y ,M ,U ,Q ,H ,D ,P ,J ,T ,X ,S ,L ,I ,A ,  ,R ,Z ,N ,B ,0
RSVP_central_cue_between_letter_presentation ,4 ,10 , T1 ,6 ,"[-1, 0] ",3.0 ,D ,R ,K ,O ,F ,X ,I ,Y ,Z ,S ,M ,J ,C ,B ,L ,N ,Q ,A ,P ,T ,U ,V ,E ,H ,G ,W ,Y ,B ,R ,Q ,M ,  ,C ,V ,X ,I ,S ,J ,E ,K ,G ,W ,D ,N ,H ,P ,A ,L ,T ,U ,Z ,F ,0
RSVP_central_cue_between_letter_presentation ,5 ,10 , T1 ,10 ,"[1, 0] ",10.0 ,Z ,Q ,W ,F ,A ,R ,M ,E ,V ,H ,C ,G ,U ,B ,N ,T ,P ,S ,Y ,J ,K ,X ,D ,I ,O ,L ,P ,Z ,M ,S ,G ,N ,V ,F ,Y ,  ,J ,R ,Q ,L ,U ,H ,D ,K ,C ,E ,A ,I ,W ,O ,B ,T ,0
RSVP_central_cue_between_letter_presentation ,6 ,10 , T1 ,6 ,"[1, 0] ",3.0 ,I ,D ,J ,H ,Z ,U ,F ,K ,G ,L ,Q ,Y ,R ,E ,S ,N ,C ,P ,V ,B ,W ,O ,T ,A ,X ,M ,E ,R ,L ,H ,X ,  ,K ,W ,I ,M ,Z ,V ,F ,D ,G ,T ,Y ,P ,U ,N ,C ,Q ,J ,S ,B ,O ,0
RSVP_central_cue_between_letter_presentation ,7 ,10 , T1 ,18 ,"[-1, 0] ",10.0 ,E ,P ,C ,O ,F ,Z ,Y ,R ,M ,D ,W ,U ,S ,N ,B ,G ,Q ,A ,K ,J ,H ,L ,I ,X ,V ,T ,C ,O ,L ,E ,Y ,R ,B ,P ,A ,J ,Z ,F ,V ,X ,D ,N ,W ,  ,S ,I ,H ,T ,U ,Q ,M ,K ,0
RSVP_central_cue_between_letter_presentation ,8 ,10 , T1 ,22 ,"[-1, 0] ",3.0 ,Q ,P ,M ,N ,K ,H ,R ,D ,Z ,W ,L ,O ,U ,S ,I ,V ,F ,X ,B ,T ,C ,G ,E ,Y ,J ,A ,G ,O ,T ,X ,L ,D ,C ,J ,W ,Y ,S ,K ,U ,Z ,E ,I ,F ,B ,P ,Q ,H ,  ,V ,N ,R ,M ,0
RSVP_central_cue_between_letter_presentation ,9 ,10 , T1 ,10 ,"[1, 0] ",3.0 ,T ,Q ,X ,P ,E ,W ,H ,J ,I ,F ,K ,N ,Y ,C ,M ,U ,O ,V ,D ,A ,L ,R ,Z ,S ,G ,B ,M ,O ,H ,Y ,U ,G ,I ,D ,S ,  ,J ,C ,Z ,X ,E ,K ,B ,A ,L ,Q ,T ,W ,V ,N ,P ,F ,0
RSVP_central_cue_between_letter_presentation ,10 ,10 , T1 ,14 ,"[-1, 0] ",10.0 ,A ,J ,X ,N ,L ,Q ,Z ,R ,M ,E ,D ,U ,C ,I ,W ,V ,B ,T ,G ,P ,Y ,H ,S ,F ,K ,O ,H ,L ,I ,Q ,X ,C ,N ,M ,E ,D ,G ,R ,F ,  ,K ,J ,A ,P ,Y ,T ,B ,Z ,W ,V ,O ,S ,0
RSVP_central_cue_between_letter_presentation ,11 ,10 , T1 ,18 ,"[-1, 0] ",10.0 ,S ,X ,W ,R ,O ,P ,H ,D ,A ,Y ,I ,U ,F ,G ,V ,Z ,K ,Q ,T ,B ,N ,E ,L ,J ,C ,M ,D ,G ,E ,Q ,B ,X ,S ,R ,F ,J ,Y ,O ,A ,L ,U ,K ,T ,  ,C ,P ,H ,W ,V ,N ,M ,Z ,0
