experimentPhase	trialnum	subject	task	answerPos0	ltrSpatialPos1	ltrEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_central_cue_between_letter_presentation 	0 	1 	 T1 	18 	[-1, 0] 	10.0 	L 	P 	Q 	K 	C 	N 	V 	Y 	B 	R 	H 	T 	J 	W 	G 	X 	D 	E 	Z 	O 	I 	U 	F 	S 	M 	A 	L 	G 	R 	I 	Z 	E 	C 	Q 	T 	H 	F 	U 	M 	Y 	J 	O 	D 	  	N 	A 	S 	X 	W 	B 	V 	P 	0
RSVP_central_cue_between_letter_presentation 	1 	1 	 T1 	22 	[1, 0] 	3.0 	F 	M 	R 	Z 	Q 	L 	G 	X 	Y 	W 	S 	V 	P 	B 	E 	O 	J 	C 	H 	N 	U 	D 	I 	K 	A 	T 	V 	U 	H 	N 	Y 	D 	G 	K 	M 	L 	P 	Z 	A 	J 	C 	R 	W 	O 	S 	E 	X 	  	F 	T 	B 	Q 	0
RSVP_central_cue_between_letter_presentation 	2 	1 	 T1 	6 	[1, 0] 	3.0 	K 	Z 	X 	U 	Q 	B 	D 	M 	F 	R 	S 	A 	Y 	P 	L 	N 	C 	J 	O 	E 	H 	V 	T 	G 	I 	W 	E 	N 	T 	H 	V 	  	I 	S 	R 	C 	A 	Y 	W 	Q 	M 	D 	B 	K 	U 	J 	G 	L 	P 	Z 	F 	O 	0
RSVP_central_cue_between_letter_presentation 	3 	1 	 T1 	6 	[1, 0] 	3.0 	R 	L 	J 	A 	M 	V 	Z 	N 	X 	K 	F 	I 	O 	C 	S 	U 	G 	W 	H 	D 	T 	B 	Y 	P 	Q 	E 	X 	O 	C 	A 	K 	  	E 	Z 	D 	R 	H 	F 	W 	G 	V 	Y 	I 	J 	B 	M 	S 	Q 	N 	U 	L 	P 	0
RSVP_central_cue_between_letter_presentation 	4 	1 	 T1 	18 	[1, 0] 	10.0 	S 	W 	P 	Z 	F 	J 	V 	O 	H 	D 	L 	G 	E 	M 	K 	I 	X 	N 	U 	R 	T 	C 	Y 	B 	A 	Q 	T 	I 	Z 	G 	E 	A 	K 	H 	P 	W 	F 	X 	V 	J 	S 	N 	U 	  	C 	M 	D 	Q 	R 	B 	L 	O 	0
RSVP_central_cue_between_letter_presentation 	5 	1 	 T1 	6 	[1, 0] 	10.0 	O 	A 	E 	L 	F 	X 	Z 	Q 	T 	N 	G 	P 	H 	R 	U 	S 	B 	J 	W 	C 	M 	K 	I 	Y 	V 	D 	P 	B 	N 	R 	S 	  	J 	V 	U 	F 	H 	X 	A 	K 	W 	C 	Y 	I 	O 	Q 	G 	Z 	T 	L 	E 	M 	0
RSVP_central_cue_between_letter_presentation 	6 	1 	 T1 	22 	[1, 0] 	10.0 	R 	J 	G 	Z 	L 	V 	T 	O 	U 	P 	I 	B 	W 	E 	D 	X 	Q 	N 	K 	H 	Y 	A 	C 	S 	M 	F 	K 	O 	H 	B 	F 	D 	I 	T 	R 	Z 	X 	S 	G 	Y 	U 	E 	A 	Q 	V 	L 	N 	  	J 	W 	P 	C 	0
RSVP_central_cue_between_letter_presentation 	7 	1 	 T1 	14 	[1, 0] 	10.0 	Z 	G 	B 	D 	E 	T 	I 	R 	J 	M 	X 	F 	P 	V 	W 	U 	K 	A 	C 	H 	Q 	N 	S 	L 	Y 	O 	S 	Z 	K 	R 	V 	X 	W 	Q 	D 	I 	N 	E 	B 	  	F 	O 	H 	U 	T 	Y 	A 	L 	P 	G 	M 	J 	0
RSVP_central_cue_between_letter_presentation 	8 	1 	 T1 	10 	[-1, 0] 	3.0 	K 	I 	W 	Z 	L 	A 	N 	D 	F 	G 	P 	M 	V 	O 	S 	Q 	J 	X 	T 	B 	U 	Y 	C 	E 	H 	R 	Y 	P 	K 	O 	G 	N 	U 	D 	S 	  	E 	J 	R 	L 	C 	Q 	I 	W 	T 	H 	X 	F 	M 	B 	A 	V 	0
RSVP_central_cue_between_letter_presentation 	9 	1 	 T1 	10 	[1, 0] 	10.0 	A 	P 	R 	C 	Y 	E 	S 	N 	G 	Z 	D 	M 	I 	X 	U 	T 	L 	H 	F 	Q 	J 	O 	W 	B 	V 	K 	A 	T 	Q 	E 	J 	M 	G 	H 	K 	  	D 	I 	O 	C 	B 	X 	Y 	F 	P 	Z 	N 	W 	V 	L 	S 	U 	0
