trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
137,"[1, 0]",10,2,10
150,"[-1, 0]",22,2,2.5
255,"[-1, 0]",22,2,10
51,"[1, 0]",6,2,2.5
54,"[1, 0]",18,2,2.5
170,"[-1, 0]",22,2,2.5
158,"[-1, 0]",14,2,2.5
69,"[1, 0]",18,2,2.5
72,"[1, 0]",10,2,10
227,"[-1, 0]",10,2,10
209,"[-1, 0]",18,2,2.5
108,"[1, 0]",14,2,10
159,"[-1, 0]",18,2,2.5
3,"[1, 0]",14,2,2.5
215,"[-1, 0]",22,2,10
181,"[-1, 0]",6,2,2.5
106,"[1, 0]",6,2,10
241,"[-1, 0]",6,2,10
171,"[-1, 0]",6,2,2.5
15,"[1, 0]",22,2,2.5
250,"[-1, 0]",22,2,10
154,"[-1, 0]",18,2,2.5
251,"[-1, 0]",6,2,10
256,"[-1, 0]",6,2,10
52,"[1, 0]",10,2,2.5
192,"[-1, 0]",10,2,2.5
59,"[1, 0]",18,2,2.5
11,"[1, 0]",6,2,2.5
50,"[1, 0]",22,2,2.5
194,"[-1, 0]",18,2,2.5
195,"[-1, 0]",22,2,2.5
102,"[1, 0]",10,2,10
216,"[-1, 0]",6,2,10
35,"[1, 0]",22,2,2.5
27,"[1, 0]",10,2,2.5
104,"[1, 0]",18,2,10
203,"[-1, 0]",14,2,2.5
57,"[1, 0]",10,2,2.5
146,"[-1, 0]",6,2,2.5
189,"[-1, 0]",18,2,2.5
136,"[1, 0]",6,2,10
81,"[1, 0]",6,2,10
20,"[1, 0]",22,2,2.5
260,"[-1, 0]",22,2,10
122,"[1, 0]",10,2,10
134,"[1, 0]",18,2,10
144,"[-1, 0]",18,2,2.5
213,"[-1, 0]",14,2,10
188,"[-1, 0]",14,2,2.5
41,"[1, 0]",6,2,2.5
113,"[1, 0]",14,2,10
86,"[1, 0]",6,2,10
185,"[-1, 0]",22,2,2.5
123,"[1, 0]",14,2,10
44,"[1, 0]",18,2,2.5
257,"[-1, 0]",10,2,10
38,"[1, 0]",14,2,2.5
153,"[-1, 0]",14,2,2.5
36,"[1, 0]",6,2,2.5
109,"[1, 0]",18,2,10
212,"[-1, 0]",10,2,10
147,"[-1, 0]",10,2,2.5
253,"[-1, 0]",14,2,10
91,"[1, 0]",6,2,10
89,"[1, 0]",18,2,10
238,"[-1, 0]",14,2,10
18,"[1, 0]",14,2,2.5
166,"[-1, 0]",6,2,2.5
177,"[-1, 0]",10,2,2.5
266,"[-1, 0]",6,2,10
62,"[1, 0]",10,2,2.5
121,"[1, 0]",6,2,10
53,"[1, 0]",14,2,2.5
48,"[1, 0]",14,2,2.5
151,"[-1, 0]",6,2,2.5
174,"[-1, 0]",18,2,2.5
99,"[1, 0]",18,2,10
64,"[1, 0]",18,2,2.5
269,"[-1, 0]",18,2,10
274,"[-1, 0]",18,2,10
169,"[-1, 0]",18,2,2.5
168,"[-1, 0]",14,2,2.5
61,"[1, 0]",6,2,2.5
180,"[-1, 0]",22,2,2.5
228,"[-1, 0]",14,2,10
220,"[-1, 0]",22,2,10
95,"[1, 0]",22,2,10
4,"[1, 0]",18,2,2.5
111,"[1, 0]",6,2,10
6,"[1, 0]",6,2,2.5
98,"[1, 0]",14,2,10
32,"[1, 0]",10,2,2.5
58,"[1, 0]",14,2,2.5
226,"[-1, 0]",6,2,10
39,"[1, 0]",18,2,2.5
118,"[1, 0]",14,2,10
152,"[-1, 0]",10,2,2.5
186,"[-1, 0]",6,2,2.5
65,"[1, 0]",22,2,2.5
26,"[1, 0]",6,2,2.5
225,"[-1, 0]",22,2,10
87,"[1, 0]",10,2,10
247,"[-1, 0]",10,2,10
24,"[1, 0]",18,2,2.5
22,"[1, 0]",10,2,2.5
17,"[1, 0]",10,2,2.5
172,"[-1, 0]",10,2,2.5
183,"[-1, 0]",14,2,2.5
191,"[-1, 0]",6,2,2.5
84,"[1, 0]",18,2,10
5,"[1, 0]",22,2,2.5
143,"[-1, 0]",14,2,2.5
239,"[-1, 0]",18,2,10
23,"[1, 0]",14,2,2.5
130,"[1, 0]",22,2,10
46,"[1, 0]",6,2,2.5
261,"[-1, 0]",6,2,10
234,"[-1, 0]",18,2,10
217,"[-1, 0]",10,2,10
231,"[-1, 0]",6,2,10
9,"[1, 0]",18,2,2.5
179,"[-1, 0]",18,2,2.5
244,"[-1, 0]",18,2,10
116,"[1, 0]",6,2,10
176,"[-1, 0]",6,2,2.5
184,"[-1, 0]",18,2,2.5
237,"[-1, 0]",10,2,10
101,"[1, 0]",6,2,10
139,"[1, 0]",18,2,10
245,"[-1, 0]",22,2,10
280,"[-1, 0]",22,2,10
198,"[-1, 0]",14,2,2.5
279,"[-1, 0]",18,2,10
190,"[-1, 0]",22,2,2.5
117,"[1, 0]",10,2,10
210,"[-1, 0]",22,2,2.5
263,"[-1, 0]",14,2,10
254,"[-1, 0]",18,2,10
211,"[-1, 0]",6,2,10
37,"[1, 0]",10,2,2.5
208,"[-1, 0]",14,2,2.5
133,"[1, 0]",14,2,10
236,"[-1, 0]",6,2,10
258,"[-1, 0]",14,2,10
47,"[1, 0]",10,2,2.5
125,"[1, 0]",22,2,10
67,"[1, 0]",10,2,2.5
70,"[1, 0]",22,2,2.5
10,"[1, 0]",22,2,2.5
148,"[-1, 0]",14,2,2.5
132,"[1, 0]",10,2,10
74,"[1, 0]",18,2,10
268,"[-1, 0]",14,2,10
149,"[-1, 0]",18,2,2.5
12,"[1, 0]",10,2,2.5
13,"[1, 0]",14,2,2.5
25,"[1, 0]",22,2,2.5
259,"[-1, 0]",18,2,10
230,"[-1, 0]",22,2,10
