trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
35,"[1, 0]",22,2,2.5
175,"[-1, 0]",22,2,2.5
169,"[-1, 0]",18,2,2.5
73,"[1, 0]",14,2,10
149,"[-1, 0]",18,2,2.5
51,"[1, 0]",6,2,2.5
117,"[1, 0]",10,2,10
7,"[1, 0]",10,2,2.5
205,"[-1, 0]",22,2,2.5
260,"[-1, 0]",22,2,10
174,"[-1, 0]",18,2,2.5
273,"[-1, 0]",14,2,10
246,"[-1, 0]",6,2,10
150,"[-1, 0]",22,2,2.5
29,"[1, 0]",18,2,2.5
30,"[1, 0]",22,2,2.5
201,"[-1, 0]",6,2,2.5
134,"[1, 0]",18,2,10
50,"[1, 0]",22,2,2.5
26,"[1, 0]",6,2,2.5
77,"[1, 0]",10,2,10
47,"[1, 0]",10,2,2.5
86,"[1, 0]",6,2,10
107,"[1, 0]",10,2,10
152,"[-1, 0]",10,2,2.5
139,"[1, 0]",18,2,10
67,"[1, 0]",10,2,2.5
230,"[-1, 0]",22,2,10
221,"[-1, 0]",6,2,10
130,"[1, 0]",22,2,10
64,"[1, 0]",18,2,2.5
270,"[-1, 0]",22,2,10
180,"[-1, 0]",22,2,2.5
206,"[-1, 0]",6,2,2.5
92,"[1, 0]",10,2,10
65,"[1, 0]",22,2,2.5
123,"[1, 0]",14,2,10
54,"[1, 0]",18,2,2.5
238,"[-1, 0]",14,2,10
109,"[1, 0]",18,2,10
147,"[-1, 0]",10,2,2.5
179,"[-1, 0]",18,2,2.5
162,"[-1, 0]",10,2,2.5
12,"[1, 0]",10,2,2.5
220,"[-1, 0]",22,2,10
98,"[1, 0]",14,2,10
190,"[-1, 0]",22,2,2.5
59,"[1, 0]",18,2,2.5
232,"[-1, 0]",10,2,10
266,"[-1, 0]",6,2,10
76,"[1, 0]",6,2,10
225,"[-1, 0]",22,2,10
233,"[-1, 0]",14,2,10
88,"[1, 0]",14,2,10
136,"[1, 0]",6,2,10
166,"[-1, 0]",6,2,2.5
83,"[1, 0]",14,2,10
141,"[-1, 0]",6,2,2.5
25,"[1, 0]",22,2,2.5
75,"[1, 0]",22,2,10
222,"[-1, 0]",10,2,10
239,"[-1, 0]",18,2,10
27,"[1, 0]",10,2,2.5
203,"[-1, 0]",14,2,2.5
208,"[-1, 0]",14,2,2.5
111,"[1, 0]",6,2,10
84,"[1, 0]",18,2,10
253,"[-1, 0]",14,2,10
14,"[1, 0]",18,2,2.5
36,"[1, 0]",6,2,2.5
97,"[1, 0]",10,2,10
276,"[-1, 0]",6,2,10
186,"[-1, 0]",6,2,2.5
133,"[1, 0]",14,2,10
272,"[-1, 0]",10,2,10
194,"[-1, 0]",18,2,2.5
247,"[-1, 0]",10,2,10
91,"[1, 0]",6,2,10
244,"[-1, 0]",18,2,10
157,"[-1, 0]",10,2,2.5
68,"[1, 0]",14,2,2.5
37,"[1, 0]",10,2,2.5
55,"[1, 0]",22,2,2.5
24,"[1, 0]",18,2,2.5
250,"[-1, 0]",22,2,10
195,"[-1, 0]",22,2,2.5
236,"[-1, 0]",6,2,10
268,"[-1, 0]",14,2,10
256,"[-1, 0]",6,2,10
110,"[1, 0]",22,2,10
178,"[-1, 0]",14,2,2.5
52,"[1, 0]",10,2,2.5
58,"[1, 0]",14,2,2.5
259,"[-1, 0]",18,2,10
251,"[-1, 0]",6,2,10
44,"[1, 0]",18,2,2.5
121,"[1, 0]",6,2,10
144,"[-1, 0]",18,2,2.5
69,"[1, 0]",18,2,2.5
245,"[-1, 0]",22,2,10
254,"[-1, 0]",18,2,10
202,"[-1, 0]",10,2,2.5
16,"[1, 0]",6,2,2.5
204,"[-1, 0]",18,2,2.5
33,"[1, 0]",14,2,2.5
39,"[1, 0]",18,2,2.5
185,"[-1, 0]",22,2,2.5
17,"[1, 0]",10,2,2.5
6,"[1, 0]",6,2,2.5
213,"[-1, 0]",14,2,10
181,"[-1, 0]",6,2,2.5
156,"[-1, 0]",6,2,2.5
103,"[1, 0]",14,2,10
112,"[1, 0]",10,2,10
184,"[-1, 0]",18,2,2.5
19,"[1, 0]",18,2,2.5
87,"[1, 0]",10,2,10
23,"[1, 0]",14,2,2.5
258,"[-1, 0]",14,2,10
143,"[-1, 0]",14,2,2.5
252,"[-1, 0]",10,2,10
66,"[1, 0]",6,2,2.5
214,"[-1, 0]",18,2,10
198,"[-1, 0]",14,2,2.5
108,"[1, 0]",14,2,10
264,"[-1, 0]",18,2,10
168,"[-1, 0]",14,2,2.5
95,"[1, 0]",22,2,10
278,"[-1, 0]",14,2,10
113,"[1, 0]",14,2,10
188,"[-1, 0]",14,2,2.5
219,"[-1, 0]",18,2,10
267,"[-1, 0]",10,2,10
60,"[1, 0]",22,2,2.5
57,"[1, 0]",10,2,2.5
165,"[-1, 0]",22,2,2.5
20,"[1, 0]",22,2,2.5
126,"[1, 0]",6,2,10
40,"[1, 0]",22,2,2.5
154,"[-1, 0]",18,2,2.5
82,"[1, 0]",10,2,10
122,"[1, 0]",10,2,10
116,"[1, 0]",6,2,10
124,"[1, 0]",18,2,10
104,"[1, 0]",18,2,10
140,"[1, 0]",22,2,10
45,"[1, 0]",22,2,2.5
160,"[-1, 0]",22,2,2.5
18,"[1, 0]",14,2,2.5
96,"[1, 0]",6,2,10
187,"[-1, 0]",10,2,2.5
78,"[1, 0]",14,2,10
217,"[-1, 0]",10,2,10
274,"[-1, 0]",18,2,10
216,"[-1, 0]",6,2,10
211,"[-1, 0]",6,2,10
22,"[1, 0]",10,2,2.5
226,"[-1, 0]",6,2,10
