Duration,Response,Stimulus condition,Eccentricity
0.975,0.9359580099990126,0,"[3, 0]"
0.75,0.8640572729927953,1,"[-3, 0]"
0.825,1.0960026209941134,0,"[3, 0]"
1.125,1.0079464620212093,1,"[-3, 0]"
0.75,0.5200128379801754,0,"[3, 0]"
1.125,1.0400137469987385,1,"[-3, 0]"
0.75,0.9840538639982697,3,"[-12, 0]"
0.75,0.8640162960218731,3,"[-12, 0]"
0.75,0.9120431850024033,0,"[3, 0]"
1.45,1.1679632349987514,2,"[12, 0]"
0.75,0.7119740230264142,2,"[12, 0]"
0.9,0.8480354389757849,2,"[12, 0]"
0.75,0.6160305319936015,1,"[-3, 0]"
1.125,1.312011664005695,3,"[-12, 0]"
0.9,0.6640113810135517,3,"[-12, 0]"
0.825,0.9280242340173572,1,"[-3, 0]"
1.25,1.135985337983584,0,"[3, 0]"
0.825,0.6399969740014058,2,"[12, 0]"
1.525,1.3359601049742196,3,"[-12, 0]"
0.75,0.5439654990041163,3,"[-12, 0]"
0.75,0.6399935290100984,1,"[-3, 0]"
0.75,0.727996498986613,2,"[12, 0]"
0.75,0.5440380499931052,0,"[3, 0]"
1.05,1.2320311979856342,2,"[12, 0]"
1.525,1.423954675992718,3,"[-12, 0]"
0.975,0.9680150549975224,2,"[12, 0]"
0.9,0.8720043560024351,0,"[3, 0]"
0.75,0.6160612660169136,2,"[12, 0]"
1.25,1.232028825004818,0,"[3, 0]"
0.9,0.6880571780202445,3,"[-12, 0]"
0.975,0.9680256920109969,2,"[12, 0]"
0.9,0.4640601300052367,1,"[-3, 0]"
0.975,1.079983284987975,2,"[12, 0]"
0.75,0.504059178987518,3,"[-12, 0]"
1.125,1.6479720240167808,0,"[3, 0]"
0.975,0.943966675986303,2,"[12, 0]"
0.9,1.0080303229915444,1,"[-3, 0]"
0.75,1.0799856660014484,3,"[-12, 0]"
1.05,1.0000709839805495,0,"[3, 0]"
0.9,0.7280177920183633,0,"[3, 0]"
1.125,0.9919735480216332,3,"[-12, 0]"
0.975,0.9919773989822716,3,"[-12, 0]"
0.75,0.8400103010062594,2,"[12, 0]"
0.975,0.9439774570055306,0,"[3, 0]"
0.75,0.5759606230130885,2,"[12, 0]"
0.9,0.7360193850181531,1,"[-3, 0]"
0.9,0.9199771389830858,2,"[12, 0]"
0.975,0.8960016329947393,2,"[12, 0]"
0.75,0.8320736599853262,2,"[12, 0]"
0.75,0.6720020369975828,3,"[-12, 0]"
0.75,0.6960144989716355,2,"[12, 0]"
0.75,0.6880624579789583,0,"[3, 0]"
0.75,0.783904378011357,2,"[12, 0]"
0.75,0.7280006799846888,3,"[-12, 0]"
0.9,0.7840598199982196,1,"[-3, 0]"
0.9,0.11202406699885614,0,"[3, 0]"
0.75,0.8480462059960701,1,"[-3, 0]"
0.825,0.5119991289975587,0,"[3, 0]"
