Duration,Response,Stimulus condition,Eccentricity
1.05,1.0000030099981814,3,"[-12, 0]"
1.125,0.6080217730013828,0,"[3, 0]"
1.45,0.21605016000103205,2,"[12, 0]"
0.825,0.42401247800080455,2,"[12, 0]"
0.975,0.5999865119993046,3,"[-12, 0]"
1.125,0.807979097997304,1,"[-3, 0]"
1.375,0.7680685310006083,2,"[12, 0]"
0.825,0.43999314199754735,1,"[-3, 0]"
1.25,0.7279697269987082,0,"[3, 0]"
1.45,1.1040040999978373,3,"[-12, 0]"
1.125,0.8159961109995493,3,"[-12, 0]"
0.975,0.7600345780010684,3,"[-12, 0]"
1.25,1.0400041889988643,3,"[-12, 0]"
1.25,1.0000417169976572,1,"[-3, 0]"
1.25,0.976013168998179,0,"[3, 0]"
1.375,0.7119691520019842,0,"[3, 0]"
1.525,1.2239813939995656,3,"[-12, 0]"
1.25,0.8479862269996374,1,"[-3, 0]"
1.125,1.1680193190004502,3,"[-12, 0]"
0.975,0.9520113409998885,1,"[-3, 0]"
1.25,0.9039678270019067,3,"[-12, 0]"
1.25,1.0079514120006934,0,"[3, 0]"
1.45,1.1280556589990738,1,"[-3, 0]"
1.125,0.8639885060001689,3,"[-12, 0]"
0.825,0.5439755769984913,3,"[-12, 0]"
0.9,0.8320277639977576,2,"[12, 0]"
0.975,0.7840749719980522,1,"[-3, 0]"
1.25,1.1200567899977614,1,"[-3, 0]"
0.825,0.6400102430015977,0,"[3, 0]"
1.525,0.9760006850010541,0,"[3, 0]"
0.825,0.56805457000155,3,"[-12, 0]"
1.525,1.2160219559991674,0,"[3, 0]"
0.75,0.7760077450002427,3,"[-12, 0]"
1.375,0.8239868300006492,1,"[-3, 0]"
1.375,1.4639560010000423,1,"[-3, 0]"
0.9,0.7920703809977567,0,"[3, 0]"
0.75,0.4800022159979562,0,"[3, 0]"
1.525,1.1680863379988295,1,"[-3, 0]"
0.75,0.6240492709985119,1,"[-3, 0]"
1.05,0.6159422899982019,2,"[12, 0]"
1.375,0.8639485819985566,0,"[3, 0]"
0.975,0.85599317499873,0,"[3, 0]"
1.25,0.9599496249975346,2,"[12, 0]"
0.9,0.7839589239993074,1,"[-3, 0]"
0.825,0.6240322509984253,2,"[12, 0]"
1.45,1.0959945040012826,1,"[-3, 0]"
1.375,0.9199608710005123,1,"[-3, 0]"
0.825,0.544038977001037,3,"[-12, 0]"
0.9,0.8399997760025144,1,"[-3, 0]"
1.375,1.0239796799978649,2,"[12, 0]"
1.25,0.6799682630007737,1,"[-3, 0]"
1.375,1.0240028859989252,2,"[12, 0]"
1.375,0.8479721319999953,3,"[-12, 0]"
1.25,1.1920739420020254,1,"[-3, 0]"
0.75,0.46403546500005177,3,"[-12, 0]"
0.75,0.4399995139974635,1,"[-3, 0]"
0.825,0.608011792999605,1,"[-3, 0]"
1.45,1.0000094349998108,2,"[12, 0]"
1.05,0.8000104640013888,2,"[12, 0]"
1.125,0.8879626500020095,2,"[12, 0]"
0.975,0.6959570099970733,2,"[12, 0]"
1.525,1.2640098099982424,0,"[3, 0]"
0.975,0.9440077359977295,2,"[12, 0]"
0.825,0.6640638159988157,0,"[3, 0]"
1.525,0.6319959089996701,0,"[3, 0]"
0.9,0.591993960999389,3,"[-12, 0]"
1.125,0.9599500119984441,2,"[12, 0]"
1.525,0.8879676750002545,2,"[12, 0]"
1.05,0.7360756219968607,3,"[-12, 0]"
0.825,0.5040149819978978,0,"[3, 0]"
0.975,0.7600727820026805,3,"[-12, 0]"
0.9,0.8560244600012084,3,"[-12, 0]"
1.25,0.8960361040008138,2,"[12, 0]"
0.825,0.6879985320010746,2,"[12, 0]"
1.375,1.2240288499997405,1,"[-3, 0]"
1.25,1.2560166789990035,3,"[-12, 0]"
0.825,0.8639544379984727,0,"[3, 0]"
0.825,0.5599893070029793,1,"[-3, 0]"
1.45,1.1519859969994286,0,"[3, 0]"
1.45,1.4720353150005394,1,"[-3, 0]"
1.375,1.2080415039999934,3,"[-12, 0]"
0.975,1.1679344900003343,3,"[-12, 0]"
0.975,1.1839676239978871,1,"[-3, 0]"
0.825,0.5600223389992607,0,"[3, 0]"
1.375,1.519987786999991,2,"[12, 0]"
1.125,1.4079816209996352,1,"[-3, 0]"
1.05,0.856019140999706,2,"[12, 0]"
1.05,0.7679284830010147,3,"[-12, 0]"
0.75,0.640000326999143,0,"[3, 0]"
1.525,1.5599692209980276,0,"[3, 0]"
1.25,1.184007086998463,0,"[3, 0]"
1.125,1.0720034669975576,3,"[-12, 0]"
1.25,1.2719834559975425,0,"[3, 0]"
1.45,1.1680217370012542,1,"[-3, 0]"
1.125,1.1839554910002335,0,"[3, 0]"
1.125,1.3679889060003916,1,"[-3, 0]"
1.125,1.031988963000913,2,"[12, 0]"
0.9,1.1680382049999025,1,"[-3, 0]"
0.75,0.9600153020001017,2,"[12, 0]"
1.05,0.8719658990012249,1,"[-3, 0]"
1.05,0.6960449959988182,1,"[-3, 0]"
1.525,1.520010000000184,1,"[-3, 0]"
0.9,1.1120858249996672,3,"[-12, 0]"
0.825,0.9199586270005966,2,"[12, 0]"
1.375,1.7280176819986082,3,"[-12, 0]"
1.375,1.248036275999766,2,"[12, 0]"
0.75,0.5120886879994941,1,"[-3, 0]"
0.825,1.0720070770003076,1,"[-3, 0]"
1.45,1.4559898330007854,3,"[-12, 0]"
0.975,0.8720181429998775,0,"[3, 0]"
1.05,0.8559796129993629,2,"[12, 0]"
1.05,1.1120181209989823,1,"[-3, 0]"
0.975,0.9840064689997234,0,"[3, 0]"
1.45,1.104057537002518,3,"[-12, 0]"
0.75,0.5999896290013567,2,"[12, 0]"
1.45,0.6799671139997372,0,"[3, 0]"
1.45,1.4399793369993859,3,"[-12, 0]"
1.525,1.2399443949980196,1,"[-3, 0]"
1.375,1.4400262710005336,1,"[-3, 0]"
1.125,1.3040114530012943,1,"[-3, 0]"
1.525,1.3519377640004677,2,"[12, 0]"
0.975,0.999950303001242,0,"[3, 0]"
0.825,0.7680480599992734,0,"[3, 0]"
1.05,1.0720246259988926,3,"[-12, 0]"
0.825,0.6960411440013559,3,"[-12, 0]"
1.05,1.0160160119994543,3,"[-12, 0]"
0.75,1.0960070580003958,3,"[-12, 0]"
1.05,1.2880537239980185,0,"[3, 0]"
1.375,1.5840192219984601,3,"[-12, 0]"
1.45,1.6559309240001312,3,"[-12, 0]"
1.375,1.183963382998627,2,"[12, 0]"
1.125,0.8720519519993104,0,"[3, 0]"
1.125,1.1599854230007622,2,"[12, 0]"
1.125,1.1680307489987172,2,"[12, 0]"
0.75,0.6240564379986608,2,"[12, 0]"
1.25,1.0239945050016104,2,"[12, 0]"
1.375,1.4000820569999632,0,"[3, 0]"
0.975,0.7919600950008316,0,"[3, 0]"
1.25,1.208019810001133,2,"[12, 0]"
1.375,1.023918599999888,1,"[-3, 0]"
0.75,0.7759849829999439,0,"[3, 0]"
1.25,0.9679634690000967,3,"[-12, 0]"
0.975,1.2719892390014138,2,"[12, 0]"
1.525,1.3999448579997988,0,"[3, 0]"
0.9,0.9121056149997457,2,"[12, 0]"
1.525,1.2400659939994512,3,"[-12, 0]"
1.45,1.1600116419976985,0,"[3, 0]"
1.375,1.400016872001288,3,"[-12, 0]"
0.75,0.8640377419978904,2,"[12, 0]"
0.9,1.0399735539976973,1,"[-3, 0]"
1.05,1.0799306760018226,2,"[12, 0]"
1.05,0.9520444959998713,0,"[3, 0]"
0.9,0.9279912090023572,1,"[-3, 0]"
0.825,0.8719815039985406,1,"[-3, 0]"
0.825,0.8239768239982368,3,"[-12, 0]"
1.25,0.9120471569985966,2,"[12, 0]"
0.825,0.7440365660004318,2,"[12, 0]"
0.9,0.9759902420009894,3,"[-12, 0]"
0.9,1.0320348839995859,0,"[3, 0]"
0.975,1.0080474300011701,1,"[-3, 0]"
0.75,0.9679818169970531,3,"[-12, 0]"
0.75,0.9440283160001854,1,"[-3, 0]"
1.05,0.8559219819981081,1,"[-3, 0]"
0.75,1.0400418969984457,1,"[-3, 0]"
1.125,1.2400990370006184,2,"[12, 0]"
0.9,1.0960293170028308,1,"[-3, 0]"
0.825,0.8960615190007957,1,"[-3, 0]"
0.75,0.7680010179974488,0,"[3, 0]"
0.9,1.0319640990019252,0,"[3, 0]"
1.05,1.079996423999546,0,"[3, 0]"
1.375,1.4079815889999736,0,"[3, 0]"
1.45,1.544005225001456,0,"[3, 0]"
1.525,1.4719643699972949,3,"[-12, 0]"
1.25,1.22397187399838,3,"[-12, 0]"
1.25,1.4560407630015106,1,"[-3, 0]"
0.975,1.464034680997429,3,"[-12, 0]"
1.125,1.2400105069973506,1,"[-3, 0]"
1.45,1.4560080880000896,0,"[3, 0]"
1.375,1.1759399419970578,0,"[3, 0]"
0.9,1.2960747409997566,0,"[3, 0]"
1.125,1.4079505629997584,3,"[-12, 0]"
0.75,0.6400264770018111,1,"[-3, 0]"
1.05,0.8639475179988949,0,"[3, 0]"
1.05,0.9359605200006627,0,"[3, 0]"
0.75,0.6960028559988132,2,"[12, 0]"
0.75,0.5520173759978206,0,"[3, 0]"
1.25,1.0479621189988393,2,"[12, 0]"
0.9,1.1440063469999586,2,"[12, 0]"
1.375,1.1359850499975437,0,"[3, 0]"
0.75,1.1280110129991954,3,"[-12, 0]"
1.45,1.3999631029982993,1,"[-3, 0]"
1.525,1.4240754089987604,2,"[12, 0]"
0.9,1.1360708049978712,2,"[12, 0]"
0.9,0.8880572070011112,0,"[3, 0]"
1.45,1.160022124000534,3,"[-12, 0]"
1.525,1.3439851650000492,2,"[12, 0]"
1.45,1.2639994359997218,2,"[12, 0]"
1.25,1.2480511569992814,0,"[3, 0]"
0.975,0.9039874660011264,3,"[-12, 0]"
1.125,0.9839765600008832,0,"[3, 0]"
1.45,1.3280217230021663,1,"[-3, 0]"
0.825,0.8000517649998073,2,"[12, 0]"
0.975,1.1919877159998578,1,"[-3, 0]"
0.975,0.9519742740012589,2,"[12, 0]"
1.525,1.3280315919982968,3,"[-12, 0]"
0.75,0.8640495969993935,3,"[-12, 0]"
0.975,0.9519360610029253,1,"[-3, 0]"
1.125,1.1519836929983285,3,"[-12, 0]"
0.825,0.5600527360002161,3,"[-12, 0]"
0.9,0.9039602760021808,0,"[3, 0]"
1.525,1.6239631560019916,2,"[12, 0]"
1.45,1.640016885001387,2,"[12, 0]"
1.525,1.5120185909981956,2,"[12, 0]"
0.9,1.3360551560035674,2,"[12, 0]"
1.525,1.3600240939995274,1,"[-3, 0]"
1.125,1.2080304479968618,0,"[3, 0]"
1.45,1.279945852002129,0,"[3, 0]"
0.75,0.6240083550001145,0,"[3, 0]"
1.05,0.9359952930026338,0,"[3, 0]"
0.9,0.8080885919989669,2,"[12, 0]"
1.525,1.591973902999598,1,"[-3, 0]"
0.9,0.648064383000019,3,"[-12, 0]"
1.05,1.328075061999698,1,"[-3, 0]"
1.05,1.2640298279984563,2,"[12, 0]"
1.125,1.0240094830005546,0,"[3, 0]"
1.525,1.2159729280028841,3,"[-12, 0]"
1.525,1.256037548999302,1,"[-3, 0]"
1.45,1.1760068100011267,2,"[12, 0]"
0.975,1.0080097159989236,2,"[12, 0]"
1.525,1.599988112000574,3,"[-12, 0]"
1.375,1.351993288997619,3,"[-12, 0]"
1.25,0.9600154749969079,3,"[-12, 0]"
0.975,0.8799608649969741,0,"[3, 0]"
0.975,1.0399695770029211,2,"[12, 0]"
1.05,1.0079566079984943,3,"[-12, 0]"
1.45,1.1359974420010985,2,"[12, 0]"
0.9,1.1440192469999602,3,"[-12, 0]"
1.05,1.1680173080021632,1,"[-3, 0]"
1.125,1.4799687760023517,1,"[-3, 0]"
0.75,0.7600338129996089,2,"[12, 0]"
