Duration,Response,Stimulus condition,Eccentricity
0.75,0.760043249,0,"[3, 0]"
0.975,0.960029951,0,"[3, 0]"
1.375,1.552081609,0,"[3, 0]"
0.75,0.74401166,1,"[-3, 0]"
0.75,0.784009019,3,"[-12, 0]"
1.05,0.920032545,0,"[3, 0]"
0.825,0.840006989,3,"[-12, 0]"
0.825,0.816041112,2,"[12, 0]"
0.75,0.855969134,2,"[12, 0]"
1.45,1.536000409,2,"[12, 0]"
0.75,0.871970279,0,"[3, 0]"
1.375,1.303996667,0,"[3, 0]"
1.05,0.936014075,1,"[-3, 0]"
0.75,0.8800209,1,"[-3, 0]"
0.825,0.863990735,1,"[-3, 0]"
0.75,0.848012789,1,"[-3, 0]"
1.525,1.391944107,0,"[3, 0]"
0.9,0.951921491,2,"[12, 0]"
0.825,0.864012862,1,"[-3, 0]"
1.375,1.304020412,0,"[3, 0]"
1.375,1.255995556,1,"[-3, 0]"
1.05,1.112005356,1,"[-3, 0]"
1.25,1.29605952,1,"[-3, 0]"
1.05,1.143956773,3,"[-12, 0]"
0.75,0.999976199,1,"[-3, 0]"
1.05,0.896000957,1,"[-3, 0]"
0.9,0.960014134,1,"[-3, 0]"
0.75,0.855943839,1,"[-3, 0]"
0.75,0.728015925,2,"[12, 0]"
0.9,0.864025746,0,"[3, 0]"
0.975,0.880081563,1,"[-3, 0]"
0.9,0.919908727,3,"[-12, 0]"
0.825,0.832019212,3,"[-12, 0]"
1.125,1.048011961,2,"[12, 0]"
0.75,0.64801674,2,"[12, 0]"
1.05,0.976061104,2,"[12, 0]"
0.75,0.72799023,3,"[-12, 0]"
0.9,0.807992455,2,"[12, 0]"
0.825,0.66393185,2,"[12, 0]"
0.75,0.759983547,1,"[-3, 0]"
0.825,0.832021169,3,"[-12, 0]"
0.9,0.840037712,2,"[12, 0]"
0.825,0.776020879,1,"[-3, 0]"
0.75,0.744033308,3,"[-12, 0]"
0.975,0.896048664,2,"[12, 0]"
0.825,0.768080518,1,"[-3, 0]"
0.75,0.792009431,0,"[3, 0]"
0.75,0.7599889,1,"[-3, 0]"
0.75,0.863990386,1,"[-3, 0]"
1.525,1.70401597,0,"[3, 0]"
0.75,0.767993999,2,"[12, 0]"
0.75,0.815989075,2,"[12, 0]"
0.825,0.807916392,3,"[-12, 0]"
0.75,0.760038113,0,"[3, 0]"
0.75,0.800024764,2,"[12, 0]"
0.75,0.863995427,3,"[-12, 0]"
0.75,0.81598979,2,"[12, 0]"
1.125,1.040076146,2,"[12, 0]"
0.75,0.720013816,2,"[12, 0]"
0.975,0.887972507,2,"[12, 0]"
0.75,0.823920582,2,"[12, 0]"
0.75,0.688000342,1,"[-3, 0]"
0.75,0.872017036,0,"[3, 0]"
1.125,1.031953626,2,"[12, 0]"
0.975,0.800018181,3,"[-12, 0]"
0.75,0.824014956,2,"[12, 0]"
1.05,0.919924693,1,"[-3, 0]"
0.975,0.904015818,3,"[-12, 0]"
0.825,0.848046128,0,"[3, 0]"
0.975,0.791992602,1,"[-3, 0]"
0.825,1.056028627,2,"[12, 0]"
0.9,1.168037756,3,"[-12, 0]"
0.75,0.800002011,3,"[-12, 0]"
1.125,1.144031293,3,"[-12, 0]"
0.75,0.775992983,0,"[3, 0]"
0.75,0.727976342,0,"[3, 0]"
0.9,1.072008351,2,"[12, 0]"
1.05,1.183988565,3,"[-12, 0]"
0.975,1.032077033,2,"[12, 0]"
0.75,0.696024138,3,"[-12, 0]"
0.75,0.768033706,3,"[-12, 0]"
1.05,0.967939754,2,"[12, 0]"
0.825,0.856014687,3,"[-12, 0]"
0.825,0.847967755,2,"[12, 0]"
1.05,1.151999432,1,"[-3, 0]"
1.125,1.271962755,0,"[3, 0]"
0.825,0.927967807,3,"[-12, 0]"
1.125,1.352003942,3,"[-12, 0]"
0.9,0.895936532,2,"[12, 0]"
0.75,0.976034002,3,"[-12, 0]"
0.9,1.104052496,0,"[3, 0]"
1.05,1.136012494,3,"[-12, 0]"
0.825,1.039980825,1,"[-3, 0]"
1.25,1.272064097,1,"[-3, 0]"
0.9,1.032044244,1,"[-3, 0]"
0.9,1.103995532,2,"[12, 0]"
1.05,1.312034955,2,"[12, 0]"
0.975,1.088021286,2,"[12, 0]"
1.125,1.175955346,1,"[-3, 0]"
0.75,0.800040701,1,"[-3, 0]"
0.75,1.064020069,3,"[-12, 0]"
1.45,1.463948942,2,"[12, 0]"
0.825,0.839995271,1,"[-3, 0]"
0.75,0.800050885,0,"[3, 0]"
0.75,0.919962341,2,"[12, 0]"
0.825,0.936017815,0,"[3, 0]"
0.75,0.872050678,0,"[3, 0]"
0.825,0.864035609,2,"[12, 0]"
0.825,0.975919152,2,"[12, 0]"
0.9,0.863959371,1,"[-3, 0]"
1.05,1.144033882,3,"[-12, 0]"
0.825,1.000065278,3,"[-12, 0]"
0.825,1.080022117,2,"[12, 0]"
1.25,1.527992553,3,"[-12, 0]"
0.825,0.984062158,1,"[-3, 0]"
0.75,0.792023896,2,"[12, 0]"
0.975,1.079930426,1,"[-3, 0]"
0.825,0.863967374,1,"[-3, 0]"
0.75,0.855963404,0,"[3, 0]"
0.825,0.912070967,1,"[-3, 0]"
1.05,1.280019195,2,"[12, 0]"
0.75,0.968049469,3,"[-12, 0]"
0.975,1.087970393,1,"[-3, 0]"
0.825,0.832025262,2,"[12, 0]"
1.05,0.935987258,0,"[3, 0]"
0.75,0.59201571,0,"[3, 0]"
0.825,1.047991568,3,"[-12, 0]"
0.825,1.064092137,1,"[-3, 0]"
0.975,1.000060184,1,"[-3, 0]"
0.75,0.935999632,3,"[-12, 0]"
0.75,0.95998271,1,"[-3, 0]"
0.975,1.311984968,3,"[-12, 0]"
0.975,1.03205319,1,"[-3, 0]"
0.825,1.00799002,0,"[3, 0]"
0.75,0.928047432,3,"[-12, 0]"
0.75,0.976020726,1,"[-3, 0]"
0.75,1.047952741,2,"[12, 0]"
1.125,1.120031922,0,"[3, 0]"
1.05,1.007976079,2,"[12, 0]"
0.825,0.968005165,0,"[3, 0]"
0.825,1.016073194,0,"[3, 0]"
0.75,0.903980345,1,"[-3, 0]"
0.75,0.967992747,2,"[12, 0]"
0.75,0.976043563,0,"[3, 0]"
0.9,1.024077006,3,"[-12, 0]"
1.45,1.727957017,2,"[12, 0]"
0.825,1.040005984,0,"[3, 0]"
0.9,1.232018846,3,"[-12, 0]"
0.825,1.080049351,3,"[-12, 0]"
0.75,0.936033371,0,"[3, 0]"
0.75,0.728017529,2,"[12, 0]"
0.825,0.84801659,0,"[3, 0]"
0.75,0.912015578,2,"[12, 0]"
0.75,0.936012685,1,"[-3, 0]"
