Duration,Response,Stimulus condition,Eccentricity
0.975,0.6560629300074652,0,"[3, 0]"
0.825,0.5840058820031118,0,"[3, 0]"
0.9,0.9360798970155884,0,"[3, 0]"
1.25,0.8640108389954548,3,"[-12, 0]"
1.125,0.9839745709905401,0,"[3, 0]"
0.75,0.8320387660060078,1,"[-3, 0]"
0.825,0.7840129690011963,2,"[12, 0]"
1.125,0.8879798389971256,3,"[-12, 0]"
0.9,1.1279968259914313,3,"[-12, 0]"
1.375,1.303966688021319,3,"[-12, 0]"
0.825,1.0959152519935742,0,"[3, 0]"
0.75,1.135961957013933,3,"[-12, 0]"
0.975,1.0879729140142445,1,"[-3, 0]"
0.75,0.5040009350050241,3,"[-12, 0]"
0.75,1.0159926089982037,3,"[-12, 0]"
1.125,1.2240213860059157,1,"[-3, 0]"
0.9,1.2880014950060286,0,"[3, 0]"
0.75,1.047993532003602,3,"[-12, 0]"
1.375,1.384009380999487,2,"[12, 0]"
0.975,1.1439977060072124,3,"[-12, 0]"
0.825,1.0319287240272388,2,"[12, 0]"
0.825,1.1600150279991794,2,"[12, 0]"
0.75,0.6719972639984917,3,"[-12, 0]"
0.75,0.8800643819849938,2,"[12, 0]"
0.975,0.6960315949982032,1,"[-3, 0]"
0.975,0.8960109679901507,2,"[12, 0]"
0.975,0.9439691099978518,2,"[12, 0]"
0.825,0.8400394950003829,0,"[3, 0]"
0.975,0.9439609539986122,0,"[3, 0]"
0.75,0.9120176500000525,2,"[12, 0]"
1.05,1.0239715259813238,2,"[12, 0]"
0.825,0.8399601790006272,2,"[12, 0]"
0.825,0.6640471940045245,0,"[3, 0]"
0.75,0.7439945059886668,1,"[-3, 0]"
0.75,0.8160074490006082,1,"[-3, 0]"
0.9,0.720007835974684,2,"[12, 0]"
1.25,0.8639400780084543,1,"[-3, 0]"
0.9,0.8159513939754106,2,"[12, 0]"
0.825,0.6959776839939877,0,"[3, 0]"
0.975,0.6719791680225171,2,"[12, 0]"
0.975,0.7839599899889436,1,"[-3, 0]"
0.75,0.8239560639776755,3,"[-12, 0]"
0.825,0.632100310001988,2,"[12, 0]"
0.9,0.8160669950011652,3,"[-12, 0]"
0.975,0.7920554589945823,1,"[-3, 0]"
1.125,0.8000480620248709,1,"[-3, 0]"
0.75,1.1120311859995127,2,"[12, 0]"
0.75,0.8799595309828874,1,"[-3, 0]"
0.75,0.8079933700209949,1,"[-3, 0]"
0.9,0.7199890949996188,1,"[-3, 0]"
0.75,0.6800462959799916,1,"[-3, 0]"
1.25,0.784001663007075,3,"[-12, 0]"
0.9,0.7120459709840361,0,"[3, 0]"
1.05,0.8160148629976902,1,"[-3, 0]"
1.125,0.8240399450005498,0,"[3, 0]"
0.825,0.7039848770073149,2,"[12, 0]"
0.75,0.8080368420050945,3,"[-12, 0]"
0.825,0.8880008779815398,1,"[-3, 0]"
0.825,0.9440062359790318,2,"[12, 0]"
1.125,0.855962501023896,3,"[-12, 0]"
0.825,0.9040099729900248,2,"[12, 0]"
0.975,0.6240167229843792,1,"[-3, 0]"
0.9,0.9600151329941582,2,"[12, 0]"
0.75,0.6960608880035579,0,"[3, 0]"
0.9,0.7199966080079321,3,"[-12, 0]"
0.75,0.7759949190076441,2,"[12, 0]"
0.825,0.7520006689883303,2,"[12, 0]"
0.825,0.6080147260217927,1,"[-3, 0]"
0.9,0.8080210389744025,2,"[12, 0]"
0.75,1.071989135001786,1,"[-3, 0]"
0.9,0.8080170940083917,0,"[3, 0]"
1.125,1.2159764200041536,3,"[-12, 0]"
0.75,0.9840176180005074,1,"[-3, 0]"
1.05,0.9839993350033183,1,"[-3, 0]"
0.975,1.0720073020202108,2,"[12, 0]"
0.825,1.0160237470117863,1,"[-3, 0]"
0.825,1.1599691520095803,0,"[3, 0]"
0.9,0.8319999689992983,0,"[3, 0]"
1.125,0.8560486960050184,0,"[3, 0]"
0.825,0.6879845199873671,2,"[12, 0]"
1.375,1.0479157009976916,2,"[12, 0]"
0.825,0.8240269450179767,3,"[-12, 0]"
1.05,0.8000100979988929,3,"[-12, 0]"
0.75,0.8079772199853323,3,"[-12, 0]"
0.825,0.6960058269905858,2,"[12, 0]"
